contaminante,valor
UVA,0.12351462015753449
UVB,0.08758015048473441
PA,0.07654517871043784
CO,0.5948152927403492
NO,0.4239734601506609
NO2,0.6159660179040509
NOX,0.5432730762060318
O3,0.16346946090614162
PM2.5,0.7795404131138828
PMCO,0.890051751589629
SO2,0.3282578340976051
RH,-0.40004812082575925
TMP,0.08299496015321767
WSP,-0.05705025289368167
WDR,-0.2249409165100832
PM10,1.0
UVA_1,0.0805909040700756
UVA_2,0.05940922032790809
UVA_3,0.0542515672989794
UVA_4,0.05561427847758813
UVA_5,0.05204028153358893
UVA_6,0.03469731001246651
UVA_7,-0.0009111360973040382
UVA_8,-0.053062958950478176
UVA_9,-0.11615786810642767
UVA_10,-0.18118508263936992
UVA_11,-0.23728358606696365
UVA_12,-0.2753362268944659
UVA_13,-0.286884471705524
UVA_14,-0.2655486738370463
UVA_15,-0.20967649840234193
UVA_16,-0.12380254375369772
UVA_17,-0.018731942571590453
UVA_18,0.08864407257388804
UVA_19,0.17914389508369058
UVA_20,0.236854665396111
UVA_21,0.2541807654507059
UVA_22,0.2339633376115955
UVA_23,0.18791664149132842
UVA_24,0.13421388190269515
UVA_25,0.09145112727853005
UVA_26,0.06817081331377149
UVA_27,0.06051106853077079
UVA_28,0.058847149178413355
UVA_29,0.05248560239333612
UVA_30,0.032036075803450276
UVA_31,-0.005960846112721075
UVA_32,-0.05994151085302545
UVA_33,-0.12360774877520217
UVA_34,-0.1869823982103742
UVA_35,-0.23986325207489254
UVA_36,-0.2728557464247938
UVA_37,-0.2789943155987806
UVA_38,-0.25286362741728036
UVA_39,-0.19448428118892197
UVA_40,-0.1085563886620144
UVA_41,-0.006132877486629882
UVA_42,0.09597502687165087
UVA_43,0.18025814373509888
UVA_44,0.23259494925137197
UVA_45,0.24635121803063645
UVA_46,0.22529226246898684
UVA_47,0.18105182110007292
UVA_48,0.13096595612360865
UVA_49,0.09131269241410996
UVA_50,0.06858148166947611
UVA_51,0.05890141962800786
UVA_52,0.053082201794369364
UVA_53,0.04186012208938343
UVA_54,0.018351219319452605
UVA_55,-0.021378133170821073
UVA_56,-0.07501208083048895
UVA_57,-0.1369666951307097
UVA_58,-0.19727031827891975
UVA_59,-0.2456322011290468
UVA_60,-0.2737039967472717
UVA_61,-0.27476220345302477
UVA_62,-0.24558527600300348
UVA_63,-0.18555422419496653
UVA_64,-0.10035197944741857
UVA_65,-0.000688582088942596
UVA_66,0.09717468141684683
UVA_67,0.17585368477459326
UVA_68,0.22273854001402657
UVA_69,0.23331645226698186
UVA_70,0.211768421193754
UVA_71,0.1692604570493083
UVA_72,0.12151252704422082
UVB_1,0.046392765251903924
UVB_2,0.033294674403224804
UVB_3,0.04116021507637674
UVB_4,0.05655932975406281
UVB_5,0.06345688243457795
UVB_6,0.05034591841514408
UVB_7,0.013146827886447787
UVB_8,-0.042955791343558175
UVB_9,-0.10864888288205703
UVB_10,-0.17290680591612195
UVB_11,-0.2266299127355199
UVB_12,-0.2641284533450593
UVB_13,-0.2793662645411251
UVB_14,-0.26478410897326243
UVB_15,-0.2147766085244011
UVB_16,-0.12911634652569748
UVB_17,-0.017475636347754467
UVB_18,0.10028587392549024
UVB_19,0.19810137837026023
UVB_20,0.25329898165614717
UVB_21,0.25711575927353364
UVB_22,0.21824573065286226
UVB_23,0.15780924182133593
UVB_24,0.09914500640812239
UVB_25,0.059468848354877105
UVB_26,0.0449448795593101
UVB_27,0.05042769112466658
UVB_28,0.06233429001394864
UVB_29,0.06558056562046001
UVB_30,0.04854819484694889
UVB_31,0.008634258998358624
UVB_32,-0.049357553729514156
UVB_33,-0.11529570844154487
UVB_34,-0.17778462969236045
UVB_35,-0.2281923995918724
UVB_36,-0.26024330528988127
UVB_37,-0.2691611903848042
UVB_38,-0.24871804159717678
UVB_39,-0.19526834532300003
UVB_40,-0.10942806152033525
UVB_41,-0.0012796391051086843
UVB_42,0.10952213117376189
UVB_43,0.19947139307254055
UVB_44,0.24820925570685523
UVB_45,0.24853569496692385
UVB_46,0.20976231262989173
UVB_47,0.151701896453177
UVB_48,0.09704979355618064
UVB_49,0.06105851238897873
UVB_50,0.047816649489276976
UVB_51,0.05134547797855102
UVB_52,0.058455345638793905
UVB_53,0.05588256238861542
UVB_54,0.035481605499675564
UVB_55,-0.005747404783562239
UVB_56,-0.0628500066050085
UVB_57,-0.12673201791736585
UVB_58,-0.18627678428551114
UVB_59,-0.23247418230759048
UVB_60,-0.25990059913419594
UVB_61,-0.2633001017635712
UVB_62,-0.23873339714001335
UVB_63,-0.18228395890120802
UVB_64,-0.09677630607251203
UVB_65,0.007682479776976342
UVB_66,0.11232120466073568
UVB_67,0.19440985672502
UVB_68,0.23658621837241836
UVB_69,0.23393529679140043
UVB_70,0.19583342298076173
UVB_71,0.14114905879105458
UVB_72,0.09028394011199686
PA_1,0.06995897248399215
PA_2,0.0641715441025733
PA_3,0.062330566342753795
PA_4,0.06447331297440033
PA_5,0.07116525147946824
PA_6,0.08196833970421384
PA_7,0.09374367168069013
PA_8,0.1040491619144793
PA_9,0.10970871676948128
PA_10,0.10778457501157723
PA_11,0.0982871338710309
PA_12,0.08317790830965571
PA_13,0.06520939370279417
PA_14,0.04813072837428778
PA_15,0.03619894042407621
PA_16,0.030679689592407987
PA_17,0.031632710618407264
PA_18,0.03875618086932084
PA_19,0.04958068317397367
PA_20,0.06195046243766168
PA_21,0.07245003257315905
PA_22,0.07908250751493832
PA_23,0.08083968869413274
PA_24,0.07928040174518294
PA_25,0.07485463231468688
PA_26,0.07106499666759154
PA_27,0.07054881109716069
PA_28,0.07433837066631009
PA_29,0.08213292922254917
PA_30,0.09263068297436379
PA_31,0.10361943078322561
PA_32,0.11231164717595621
PA_33,0.11570368404739664
PA_34,0.11238467516931826
PA_35,0.10279510993180929
PA_36,0.08852515120462708
PA_37,0.07162204634661266
PA_38,0.05597044884362183
PA_39,0.04425587651757806
PA_40,0.03883391743241147
PA_41,0.03999514219857269
PA_42,0.04665899379074494
PA_43,0.057306221623502906
PA_44,0.06871932911506318
PA_45,0.07893700237502722
PA_46,0.0848827012145622
PA_47,0.08625412671891627
PA_48,0.0847568693570207
PA_49,0.08072800736675217
PA_50,0.07726762726130375
PA_51,0.07667166592665005
PA_52,0.08034113516203945
PA_53,0.08802083984122687
PA_54,0.09842257031825828
PA_55,0.10838877262173856
PA_56,0.11560046063148705
PA_57,0.11749403920949417
PA_58,0.11243477008768814
PA_59,0.10176290939094494
PA_60,0.08673952984370147
PA_61,0.07044666056164478
PA_62,0.05547365695496176
PA_63,0.04438295032757034
PA_64,0.03936817473455081
PA_65,0.04084834692117162
PA_66,0.04749546019898772
PA_67,0.05848067527009239
PA_68,0.07015306265245734
PA_69,0.0790918211476665
PA_70,0.083946827865804
PA_71,0.08432098525897191
PA_72,0.08184939663291177
CO_1,0.5716243351546357
CO_2,0.4917511723396418
CO_3,0.38990223518849365
CO_4,0.29736114392658086
CO_5,0.23859479655473007
CO_6,0.22368160137182927
CO_7,0.24459434781011474
CO_8,0.2862544158149171
CO_9,0.3302522949386871
CO_10,0.35697702506968215
CO_11,0.3508356072095846
CO_12,0.30958545315487007
CO_13,0.24488700000301225
CO_14,0.17506441127586905
CO_15,0.1146988680359742
CO_16,0.07090076103473944
CO_17,0.04695004268419942
CO_18,0.04700037055099881
CO_19,0.07494125927510308
CO_20,0.12899624037899332
CO_21,0.20710837847862096
CO_22,0.2989461879749223
CO_23,0.38521836331259807
CO_24,0.43310795552205555
CO_25,0.4240427893923927
CO_26,0.36054025763008934
CO_27,0.28086177590603817
CO_28,0.2102516654195183
CO_29,0.16789155522418955
CO_30,0.16230035405299148
CO_31,0.1873903560921411
CO_32,0.22845206825879585
CO_33,0.26750768689367127
CO_34,0.2868606976424452
CO_35,0.27362671806732985
CO_36,0.22826848093005656
CO_37,0.16618435895307881
CO_38,0.10245650340288026
CO_39,0.04845357496197516
CO_40,0.010050054638548757
CO_41,-0.008121048752554585
CO_42,-0.0027334003210843015
CO_43,0.02620376793978744
CO_44,0.07857528648069867
CO_45,0.14872815132450048
CO_46,0.22904017470619875
CO_47,0.30307356920880946
CO_48,0.3454834040593727
CO_49,0.33816030971790145
CO_50,0.2880278274153334
CO_51,0.2240605913081354
CO_52,0.16830791322675565
CO_53,0.13776437915367462
CO_54,0.1388236795670914
CO_55,0.1650017837625495
CO_56,0.20267340103914244
CO_57,0.23725515599892777
CO_58,0.25294521969141254
CO_59,0.23922094243254294
CO_60,0.19783462295090928
CO_61,0.14032211218775373
CO_62,0.08194727813753841
CO_63,0.03355369499699995
CO_64,-0.0003724790395644044
CO_65,-0.015153302836522555
CO_66,-0.007021351184580148
CO_67,0.023779031502250362
CO_68,0.07624808718108284
CO_69,0.14396062727802278
CO_70,0.21797701294619518
CO_71,0.2849560974186042
CO_72,0.3235596642726823
NO_1,0.4630284924944312
