,horas,UVA,UVB,PA,CO,NO,NO2,NOX,O3,PM25,PMCO,SO2,RH,TMP,WSP,WDR,PM10
0,0,0.27530738637658186,0.24986788305159477,0.10227361316282677,0.5281075788839049,0.2919849114439901,0.5874874740723022,0.42749489773246824,0.2361144656730256,1.0,0.5153785316202936,0.3537692009604526,-0.1967109367371629,0.06823637804306829,-0.29718419580165795,-0.2542973038853706,0.7795404131138828
1,1,0.19718479291398242,0.1668766276089918,0.10974631530690249,0.5596176977851456,0.3697224644686353,0.5726298532361415,0.48535808152937354,0.1261024000386643,0.9166029511014091,0.48600101571924076,0.3582453184445975,-0.11885264228802046,-0.03315517564889361,-0.3636384677471901,-0.23612206829458413,0.7417675608551728
2,2,0.10442625689283049,0.07626223965833202,0.11281858654852431,0.5631009968504246,0.4220313225908863,0.5354207824000391,0.5153363347153539,0.023779042623817772,0.8330650321275513,0.447759223571512,0.35350396855222677,-0.0444470796923144,-0.12769253065800018,-0.40839569083856575,-0.20377782681082762,0.6908513047552505
3,3,0.01167719470917864,-0.009025234185359493,0.11240304521110256,0.5274473551619664,0.42660637793035533,0.4904098913867778,0.5042642848359076,-0.05786145517643732,0.742662181283793,0.396255838015491,0.34054310656346337,0.017847378640818198,-0.20536243285894748,-0.43228827385378543,-0.1648023110008178,0.6213449775880695
4,4,-0.07010008820395268,-0.08213508657337795,0.10915129285711281,0.4585603206064321,0.38234420223211063,0.44797334835002117,0.4546840406155157,-0.11615016085751009,0.6542575575663263,0.336385893233448,0.3256739029461891,0.06299854145111886,-0.2596886474189596,-0.4412369557010715,-0.12477934595793454,0.5428374411234662
5,5,-0.13629352267974326,-0.14068870899150102,0.10442322980983212,0.37855878287823186,0.3126326358882706,0.4108001529704637,0.3863077420367405,-0.15247037183648576,0.5729071121001462,0.2792832389147704,0.3126737711198837,0.09022868402418106,-0.2899755153359363,-0.43824310180240805,-0.08705235848986889,0.4680214185584944
6,6,-0.1860357313804131,-0.1838819966956087,0.10028482100683221,0.30683866072703475,0.24170063329713612,0.38075206293428976,0.3193114935543372,-0.17035645669744465,0.49957098845956494,0.23307320512882013,0.3005697213603936,0.10049743380042526,-0.29918688434329854,-0.4232210559657316,-0.05040761783449392,0.4043183532803038
7,7,-0.21996623585045919,-0.2120126479421959,0.09729016210041937,0.24973181442183565,0.17797876150888992,0.359326672571735,0.26094819905406225,-0.17262456286491334,0.4361324025079518,0.19874097489040063,0.2883140858056559,0.09602744113766416,-0.29040186749376257,-0.3972269578135953,-0.016209605299223058,0.3530311950618933
8,8,-0.24059133739957622,-0.22726158221658285,0.09577965745372362,0.2072829670558289,0.1228003841966705,0.3476913955887814,0.21265699863030177,-0.16232814812786045,0.38230759573687767,0.17769406688470976,0.2740540790425471,0.07866577950331174,-0.2664402157048071,-0.3581467171536021,0.014237963324907657,0.31470807491386793
9,9,-0.2503804051806525,-0.23305779128714274,0.09475508942332249,0.17706870948120484,0.07507958413311686,0.34427653056613283,0.17306846681586896,-0.14232801149147356,0.33800782363084925,0.1687015777126165,0.25722935615041714,0.05078256118431858,-0.23010035080355046,-0.3076188715697817,0.038920775560492615,0.28966242509170875
10,10,-0.2516609771235049,-0.232461187378493,0.09303081003883258,0.1587913781492327,0.03484809747554053,0.3484001085298992,0.14198551342977447,-0.1141837094582152,0.3053477664372226,0.17177128428446464,0.23639671510670587,0.015278028244631725,-0.18460853434698388,-0.2477541926536242,0.053104329506895656,0.2781463692947867
11,11,-0.24519982385975156,-0.22665430866777134,0.08946803105216404,0.15133592979045654,0.004142655169981441,0.3559673710615871,0.11971227752265796,-0.0788628131237375,0.28322397849087133,0.18670874573674587,0.21422528996174406,-0.026971230409002827,-0.13183579916673177,-0.18032286772877573,0.05631533008662334,0.27986081937232865
12,12,-0.2316240848204723,-0.21584992223105945,0.08384516363725586,0.15037245489552892,-0.017006620161373196,0.36037644401154684,0.10411332237776506,-0.03504034792951061,0.2709920969012494,0.2123027628045908,0.19429366767144446,-0.07393495660888622,-0.07444161276320622,-0.11014726689849626,0.04764975951539834,0.29347533066616877
13,13,-0.20909297729705337,-0.19763272702470738,0.07515584413427293,0.14868239913822223,-0.03287152626568875,0.35638197509943226,0.09000992293576734,0.019329696235553213,0.26629066512196037,0.24247300123941604,0.1781180573785259,-0.12454227430264488,-0.013138112230639442,-0.03938432195304851,0.029124838936070863,0.31361277930992465
14,14,-0.17456767444150217,-0.1687733307893438,0.06409165312905366,0.14418522192517108,-0.0455567890098583,0.3437805951766304,0.07564871746319289,0.08474003719680384,0.269875481108583,0.27338779949941805,0.1631718342374708,-0.17949309326253957,0.05165288760109297,0.02593548939012909,0.007077943742548877,0.337095847524432
15,15,-0.1253313198676882,-0.12639865651602533,0.05352804490985623,0.1355301817548815,-0.056536207995990496,0.3225760136968008,0.05988966993495021,0.15965534543640728,0.2824459995591552,0.29990141099030565,0.15033590688284404,-0.23651527171523756,0.11714201778684491,0.07954891422443328,-0.015501120722897997,0.3586864958949342
16,16,-0.06045743130008122,-0.06856871510377795,0.04453492021501573,0.12358515415946714,-0.0651880806638544,0.2929884368331372,0.04336003963112974,0.24024694029404906,0.3026754086499288,0.3179459912467543,0.13998791571974167,-0.29232343183924386,0.17974073986885028,0.11433465999028623,-0.04057343738874772,0.37423558498812665
17,17,0.019771445451923147,0.0058715192994566205,0.03896600867420757,0.1142004005508459,-0.06743030876989636,0.26052738505389395,0.031019639044829867,0.31902667349637026,0.33091824147796406,0.3275840550787116,0.1315448128591024,-0.34261168674141845,0.23404483026537684,0.12725414806083643,-0.07077030423753289,0.38409387767948266
18,18,0.10957506950535341,0.09342426822432283,0.038272383978634285,0.11321533007530361,-0.06053922095381099,0.23619306636825027,0.028561876475456126,0.38401633962609194,0.3662104209182812,0.3305931337470361,0.12793457024249674,-0.3809968510627083,0.272716816316247,0.11814827566635847,-0.10569904559360789,0.3907726631988967
19,19,0.19952133222695784,0.18510313437986003,0.04281524664312487,0.12384129002758036,-0.044276517829971496,0.22838523468482078,0.039039992234895536,0.4247853300080244,0.40630749324761417,0.33176639054702706,0.13023115648760566,-0.40313763784506224,0.29047550980255255,0.09089090202258804,-0.1429044211775843,0.39871595727474357
