	fecha	contaminante	medicion
110	2015-01-02 12:00:00	O3_y.2	39.0
111	2015-01-02 12:00:00	O3_y	39.0
112	2015-01-02 12:00:00	RH_2_x	37.0
113	2015-01-02 12:00:00	TMP_2_y	20.2
114	2015-01-02 12:00:00	TMP_x	18.075
115	2015-01-02 12:00:00	O3_y.1	39.0
116	2015-01-02 12:00:00	O3	31.0
117	2015-01-02 13:00:00	O3_y.3	41.0
118	2015-01-02 13:00:00	O3_x	37.5
119	2015-01-02 13:00:00	O3_y.2	41.0
120	2015-01-02 13:00:00	RH_2_x	33.75
121	2015-01-02 13:00:00	TMP_2_y	20.9
122	2015-01-02 13:00:00	TMP_x	19.175
123	2015-01-02 13:00:00	O3	34.0
124	2015-01-02 13:00:00	O3_y.1	41.0
125	2015-01-02 13:00:00	O3_y	41.0
126	2015-01-02 14:00:00	TMP_2_y	20.6
127	2015-01-02 14:00:00	O3_y.3	42.0
128	2015-01-02 14:00:00	TMP_x	20.2
129	2015-01-02 14:00:00	O3_x	38.0
130	2015-01-02 14:00:00	RH_2_x	28.66666666666667
131	2015-01-02 14:00:00	O3_y.1	42.0
132	2015-01-02 14:00:00	O3	33.0
133	2015-01-02 14:00:00	O3_y	42.0
134	2015-01-02 14:00:00	O3_y.2	42.0
135	2015-01-02 15:00:00	O3_x	38.5
136	2015-01-02 15:00:00	O3_y.2	43.0
137	2015-01-02 15:00:00	TMP_2_y	21.0
138	2015-01-02 15:00:00	O3_y	43.0
139	2015-01-02 15:00:00	RH_2_x	28.75
140	2015-01-02 15:00:00	O3_y.3	43.0
141	2015-01-02 15:00:00	TMP_x	20.175
142	2015-01-02 15:00:00	O3_y.1	43.0
143	2015-01-02 15:00:00	O3	34.0
144	2015-01-02 16:00:00	TMP_2_y	20.5
145	2015-01-02 16:00:00	O3_y.3	42.0
146	2015-01-02 16:00:00	TMP_x	19.875
147	2015-01-02 16:00:00	O3_y.1	42.0
148	2015-01-02 16:00:00	O3_y	42.0
149	2015-01-02 16:00:00	RH_2_x	29.75
150	2015-01-02 16:00:00	O3_x	39.25
151	2015-01-02 16:00:00	O3_y.2	42.0
152	2015-01-02 16:00:00	O3	37.0
153	2015-01-02 17:00:00	TMP_x	19.125
154	2015-01-02 17:00:00	O3_y	42.0
155	2015-01-02 17:00:00	O3	32.0
156	2015-01-02 17:00:00	TMP_2_y	19.8
157	2015-01-02 17:00:00	O3_y.1	42.0
158	2015-01-02 17:00:00	O3_y.3	42.0
159	2015-01-02 17:00:00	O3_x	35.75
160	2015-01-02 17:00:00	RH_2_x	32.25
161	2015-01-02 17:00:00	O3_y.2	42.0
162	2015-01-02 18:00:00	RH_2_x	37.333333333333336
163	2015-01-02 18:00:00	TMP_x	17.633333333333336
164	2015-01-02 18:00:00	TMP_2_y	17.7
165	2015-01-02 18:00:00	O3_x	30.66666666666667
166	2015-01-02 18:00:00	O3	27.0
167	2015-01-02 18:00:00	O3_y	36.0
168	2015-01-02 18:00:00	O3_y.2	36.0
169	2015-01-02 18:00:00	O3_y.3	36.0
170	2015-01-02 18:00:00	O3_y.1	36.0
171	2015-01-02 19:00:00	O3	18.0
172	2015-01-02 19:00:00	O3_y	27.0
