	fecha	prediccion	medicion
99	2015-01-02 08:00:00	pred_12	37.906938455362095
100	2015-01-02 08:00:00	pred_10	35.7689730380689
101	2015-01-02 08:00:00	pred_7	28.34434784477913
102	2015-01-02 08:00:00	pred_9	32.09534187200767
103	2015-01-02 08:00:00	pred_3	25.441651974803506
104	2015-01-02 08:00:00	pred_1	28.98343027492413
105	2015-01-02 08:00:00	pred_8	32.879554681130585
106	2015-01-02 08:00:00	pred_5	27.45726426855146
107	2015-01-02 08:00:00	pred_6	31.794169120706897
108	2015-01-02 09:00:00	pred_12	56.709420402345465
109	2015-01-02 09:00:00	pred_7	60.94749098024025
110	2015-01-02 09:00:00	pred_8	60.906642120038654
111	2015-01-02 09:00:00	pred_11	54.830922541799936
112	2015-01-02 09:00:00	pred_1	60.388833103382225
113	2015-01-02 09:00:00	pred_4	57.673818729004346
114	2015-01-02 09:00:00	pred_2	61.77502096101728
115	2015-01-02 09:00:00	pred_9	57.192585224558364
116	2015-01-02 09:00:00	pred_5	58.858894951839254
117	2015-01-02 09:00:00	pred_10	57.853105226412055
118	2015-01-02 09:00:00	pred_3	62.80349612064815
119	2015-01-02 09:00:00	pred_6	60.017496637416066
120	2015-01-02 10:00:00	pred_6	20.59769435410812
121	2015-01-02 10:00:00	pred_4	22.000383366472764
122	2015-01-02 10:00:00	pred_7	25.673716148477354
123	2015-01-02 10:00:00	pred_9	20.74482872710347
124	2015-01-02 10:00:00	pred_5	21.07304576929512
125	2015-01-02 10:00:00	pred_8	21.00753922860742
126	2015-01-02 10:00:00	pred_10	21.754656674436802
127	2015-01-02 10:00:00	pred_1	20.153286260521647
128	2015-01-02 10:00:00	pred_11	27.62835960466233
129	2015-01-02 10:00:00	pred_2	20.40937801512177
130	2015-01-02 10:00:00	pred_12	22.43538792387801
131	2015-01-02 10:00:00	pred_3	18.151896343945307
132	2015-01-02 11:00:00	pred_3	42.66187364712911
133	2015-01-02 11:00:00	pred_5	45.274111841099035
134	2015-01-02 11:00:00	pred_11	54.92665072619271
135	2015-01-02 11:00:00	pred_7	47.85820498848146
136	2015-01-02 11:00:00	pred_4	45.03871513956231
137	2015-01-02 11:00:00	pred_6	46.06436736650162
138	2015-01-02 11:00:00	pred_12	56.57162666034721
139	2015-01-02 11:00:00	pred_1	43.814872162531756
140	2015-01-02 11:00:00	pred_10	56.06173945859202
141	2015-01-02 11:00:00	pred_8	43.943557187657106
142	2015-01-02 11:00:00	pred_9	47.24837215028312
143	2015-01-02 11:00:00	pred_2	41.827589483350856
144	2015-01-02 12:00:00	pred_6	55.43864474692021
145	2015-01-02 12:00:00	pred_9	61.898586711608715
146	2015-01-02 12:00:00	pred_7	58.451643413272656
147	2015-01-02 12:00:00	pred_2	47.89541887527022
148	2015-01-02 12:00:00	pred_10	63.7725662183358
149	2015-01-02 12:00:00	pred_8	56.251659499731495
150	2015-01-02 12:00:00	pred_12	61.58858253594251
151	2015-01-02 12:00:00	pred_4	52.29755222770849
152	2015-01-02 12:00:00	pred_3	48.537591610472965
153	2015-01-02 12:00:00	pred_5	49.65295249667736
154	2015-01-02 12:00:00	pred_1	45.83178728695015
155	2015-01-02 12:00:00	pred_11	64.20207819295528
156	2015-01-02 13:00:00	pred_11	29.996313244615997
157	2015-01-02 13:00:00	pred_4	24.839517032337675
158	2015-01-02 13:00:00	pred_3	21.22064036877755
159	2015-01-02 13:00:00	pred_5	24.57688769493691
160	2015-01-02 13:00:00	pred_6	26.571642087677603
