	fecha	O3_prediccion	medicion
103	2015-01-02 08:00:00	O3forecast_10	2.0
104	2015-01-02 08:00:00	O3forecast_12	2.0
105	2015-01-02 08:00:00	O3forecast_5	2.0
106	2015-01-02 08:00:00	O3forecast_8	2.0
107	2015-01-02 08:00:00	O3forecast_7	2.0
108	2015-01-02 09:00:00	O3forecast_1	6.0
109	2015-01-02 09:00:00	O3forecast_6	3.0
110	2015-01-02 09:00:00	O3forecast_5	3.0
111	2015-01-02 09:00:00	O3forecast_2	6.0
112	2015-01-02 09:00:00	O3forecast_12	2.0
113	2015-01-02 09:00:00	O3forecast_9	2.0
114	2015-01-02 09:00:00	O3forecast_11	2.0
115	2015-01-02 09:00:00	O3forecast_4	3.0
116	2015-01-02 09:00:00	O3forecast_8	2.0
117	2015-01-02 09:00:00	O3forecast_3	6.0
118	2015-01-02 09:00:00	O3forecast_10	2.0
119	2015-01-02 09:00:00	O3forecast_7	3.0
120	2015-01-02 10:00:00	O3forecast_7	6.0
121	2015-01-02 10:00:00	O3forecast_9	3.0
122	2015-01-02 10:00:00	O3forecast_6	6.0
123	2015-01-02 10:00:00	O3forecast_4	6.0
124	2015-01-02 10:00:00	O3forecast_8	3.0
125	2015-01-02 10:00:00	O3forecast_5	6.0
126	2015-01-02 10:00:00	O3forecast_3	15.0
127	2015-01-02 10:00:00	O3forecast_12	2.0
128	2015-01-02 10:00:00	O3forecast_2	15.0
129	2015-01-02 10:00:00	O3forecast_11	3.0
130	2015-01-02 10:00:00	O3forecast_1	15.0
131	2015-01-02 10:00:00	O3forecast_10	3.0
132	2015-01-02 11:00:00	O3forecast_10	6.0
133	2015-01-02 11:00:00	O3forecast_8	6.0
134	2015-01-02 11:00:00	O3forecast_2	32.0
135	2015-01-02 11:00:00	O3forecast_6	15.0
136	2015-01-02 11:00:00	O3forecast_9	6.0
137	2015-01-02 11:00:00	O3forecast_7	15.0
138	2015-01-02 11:00:00	O3forecast_1	32.0
139	2015-01-02 11:00:00	O3forecast_12	3.0
