,date,month,hour,id_station,PA,CO,NO,NO2,NOX,O3,PM2.5,PMCO,SO2,RH,TMP,WSP,WDR,PM10
0,2017-01-01 01:00:00,1,1,AJM,560.0,0.5,0.0,11.0,11.0,30.0,23.0,10.0,1.0,64.0,12.3,3.0,207.0,33.0
1,2017-01-01 01:00:00,1,1,MER,585.0,1.3,22.0,47.0,69.0,3.0,46.0,27.0,5.0,63.0,14.4,0.8,205.0,73.0
2,2017-01-01 01:00:00,1,1,XAL,584.0,1.2,17.0,39.0,56.0,6.0,70.0,37.0,4.0,54.0,14.3,2.0,248.0,107.0
3,2017-01-01 02:00:00,1,2,AJM,560.0,0.5,0.0,12.0,13.0,29.0,26.0,11.0,1.0,65.0,12.2,2.5,194.0,37.0
4,2017-01-01 02:00:00,1,2,MER,585.0,1.3,18.0,45.0,62.0,1.0,73.0,32.0,6.0,67.0,13.7,0.8,144.0,105.0
5,2017-01-01 02:00:00,1,2,XAL,584.0,2.2,59.0,45.0,103.0,6.0,159.0,62.0,8.0,58.0,13.7,0.5,68.0,221.0
6,2017-01-01 03:00:00,1,3,AJM,560.0,0.5,0.0,11.0,12.0,30.0,27.0,11.0,1.0,63.0,12.7,1.7,190.0,38.0
7,2017-01-01 03:00:00,1,3,MER,585.0,1.2,11.0,41.0,52.0,2.0,74.0,29.0,5.0,66.0,13.6,0.5,164.0,103.0
8,2017-01-01 03:00:00,1,3,XAL,584.0,2.3,56.0,45.0,101.0,6.0,175.0,227.0,10.0,60.0,13.4,0.8,47.0,401.0
9,2017-01-01 04:00:00,1,4,AJM,559.0,0.5,0.0,10.0,10.0,31.0,27.0,11.0,1.0,65.0,12.3,2.3,184.0,38.0
10,2017-01-01 04:00:00,1,4,MER,585.0,1.4,31.0,40.0,70.0,2.0,84.0,30.0,5.0,66.0,13.5,0.7,183.0,114.0
11,2017-01-01 04:00:00,1,4,XAL,584.0,2.7,92.0,42.0,135.0,5.0,165.0,87.0,9.0,60.0,13.2,0.3,181.0,252.0
