contaminante,valor,horas
WSP,-0.17995028072755337,23.0
WSP,-0.17649054266103628,24.0
WSP,-0.17187493329420153,25.0
WSP,-0.1668880424397021,26.0
WSP,-0.16188012502590535,27.0
WSP,-0.15692123110464593,28.0
WSP,-0.1524052271299833,29.0
WSP,-0.14782437298945553,30.0
WSP,-0.14302885770938914,31.0
WSP,-0.1380651746062537,32.0
WSP,-0.1334753093622165,33.0
WSP,-0.1289599244838039,34.0
WSP,-0.12460915027218145,35.0
WSP,-0.12028100890877771,36.0
WSP,-0.11603161607361247,37.0
WSP,-0.11173883456671788,38.0
WSP,-0.10770382068433432,39.0
WSP,-0.10360183598920313,40.0
WSP,-0.09923914622846859,41.0
WSP,-0.09508472989601141,42.0
WSP,-0.09101300082095191,43.0
WSP,-0.08690222648331838,44.0
WSP,-0.08285457333241933,45.0
WSP,-0.07899183210937749,46.0
WSP,-0.07522349029020384,47.0
WSP,-0.07158598603252644,48.0
WSP,-0.06801721366073091,49.0
WSP,-0.06440074755336735,50.0
WSP,-0.06078949777713369,51.0
WSP,-0.05777499392311775,52.0
WSP,-0.05523079397418099,53.0
WSP,-0.052942449854939816,54.0
WSP,-0.050392111980039636,55.0
WSP,-0.047568286042049775,56.0
WSP,-0.044919714350179316,57.0
WSP,-0.04211393542528831,58.0
WSP,-0.03935830902235441,59.0
WSP,-0.036898485435496675,60.0
WSP,-0.03431382158250029,61.0
WSP,-0.03185305639457778,62.0
WSP,-0.029225648873188587,63.0
WSP,-0.026798188601201398,64.0
WSP,-0.02421701062801892,65.0
WSP,-0.02172805348839757,66.0
WSP,-0.019418215923934633,67.0
WSP,-0.017246471995818385,68.0
WSP,-0.015179726817375184,69.0
WSP,-0.013057129529520808,70.0
WSP,-0.010833924179478836,71.0
WSP,-0.008821315846547939,72.0
CO,0.3360229743170894,1.0
CO,0.3435313472990678,2.0
CO,0.34960703603459836,3.0
CO,0.35496530691869926,4.0
CO,0.3598946133054401,5.0
CO,0.36438218943354894,6.0
CO,0.36810967621491614,7.0
CO,0.37127119188101376,8.0
CO,0.3738553682417129,9.0
CO,0.3759624988364056,10.0
CO,0.37764371119287077,11.0
CO,0.37899964889452475,12.0
CO,0.3799154240901484,13.0
CO,0.3806106784367475,14.0
CO,0.38077156426629083,15.0
CO,0.37976654770112916,16.0
CO,0.37777659289740034,17.0
CO,0.37519844858073204,18.0
CO,0.372189827710827,19.0
CO,0.36813769395682616,20.0
CO,0.3632806908594001,21.0
CO,0.35719147149208397,22.0
CO,0.34949553312229636,23.0
CO,0.3399728515789998,24.0
CO,0.3306858430595753,25.0
CO,0.3218952222638696,26.0
CO,0.3138335983455179,27.0
CO,0.30685512206654847,28.0
CO,0.3009091326135033,29.0
CO,0.29534141533830954,30.0
CO,0.2898012520254832,31.0
CO,0.28446297861134656,32.0
CO,0.2792473733079022,33.0
CO,0.2742964863546239,34.0
CO,0.2696706301500016,35.0
CO,0.26539925545199444,36.0
CO,0.26147474735060283,37.0
CO,0.25813591916542705,38.0
CO,0.2547626998070878,39.0
CO,0.2513188755409888,40.0
CO,0.2477070212555694,41.0
CO,0.2442815208978568,42.0
CO,0.2406457716399067,43.0
CO,0.23732119933149987,44.0
CO,0.2339506962926349,45.0
CO,0.2303695603159015,46.0
CO,0.22646509406846974,47.0
CO,0.22295230228744675,48.0
CO,0.2194530943009103,49.0
CO,0.216452431776622,50.0
CO,0.21385467478510947,51.0
CO,0.2122045564365388,52.0
CO,0.211036238763138,53.0
CO,0.21054745417475948,54.0
CO,0.2103262433795062,55.0
CO,0.21011639071721278,56.0
CO,0.20970039814374178,57.0
CO,0.20922113399656062,58.0
CO,0.20873557447892752,59.0
CO,0.20829246941464982,60.0
CO,0.20745882246668482,61.0
CO,0.20643371332554722,62.0
CO,0.20536961410242824,63.0
CO,0.20410243104098894,64.0
CO,0.20260159401013825,65.0
CO,0.2011486779465621,66.0
CO,0.1999972179010053,67.0
CO,0.1987921547570659,68.0
CO,0.19764871040709883,69.0
CO,0.19631550451908755,70.0
CO,0.1950103110991756,71.0
CO,0.19381244462022099,72.0
NO,0.1866402392633891,1.0
NO,0.19149253523897927,2.0
NO,0.19535070488073827,3.0
NO,0.19838739404077646,4.0
NO,0.2011424375259612,5.0
NO,0.20404316867359137,6.0
NO,0.20675857822117494,7.0
NO,0.2086917855266645,8.0
NO,0.21025733089347784,9.0
NO,0.21141990927373863,10.0
NO,0.21239482334682036,11.0
NO,0.2132076535173243,12.0
NO,0.21395195089705638,13.0
NO,0.2146200849080648,14.0
NO,0.21515558686067685,15.0
NO,0.21505356343868495,16.0
NO,0.21425094615094625,17.0
NO,0.21318406003556306,18.0
NO,0.21208346499233222,19.0
NO,0.2108376815845513,20.0
NO,0.20916396955560593,21.0
NO,0.20692336694602875,22.0
NO,0.20361214733499813,23.0
NO,0.19920903869825413,24.0
NO,0.19455671172849526,25.0
NO,0.18988772305751572,26.0
NO,0.18564603763489687,27.0
NO,0.18198587251570614,28.0
NO,0.1790366185131179,29.0
NO,0.17652751424073093,30.0
NO,0.17448200992947105,31.0
NO,0.1726358053834478,32.0
NO,0.17063537182280233,33.0
NO,0.16862301402235608,34.0
NO,0.16683741474068492,35.0
NO,0.1652732048696024,36.0
NO,0.16409216841730506,37.0
NO,0.1632616593048107,38.0
NO,0.16248307945217466,39.0
NO,0.1612288812371854,40.0
NO,0.15958818662729446,41.0
NO,0.15784077230121313,42.0
NO,0.15606738984910895,43.0
NO,0.15455069339315106,44.0
NO,0.15308861076070476,45.0
NO,0.1514315165480636,46.0
NO,0.14922085628054982,47.0
NO,0.1469929190813714,48.0
NO,0.1447357624407116,49.0
NO,0.14274406764905098,50.0
NO,0.14097188797475993,51.0
NO,0.1399077574561048,52.0
NO,0.1396058760826488,53.0
NO,0.139886114503487,54.0
NO,0.1402662985890648,55.0
NO,0.1407344865477074,56.0
NO,0.14105187288940974,57.0
NO,0.1413329726980842,58.0
NO,0.1415843153856071,59.0
NO,0.14190309218925262,60.0
NO,0.1419855616262585,61.0
NO,0.14174563160282594,62.0
NO,0.1413132616506911,63.0
NO,0.14049701980454157,64.0
NO,0.139142880724425,65.0
NO,0.13813716458346884,66.0
