contaminante,valor,horas
RH,-0.2362720663618341,0.0
TMP,0.005473080780633105,0.0
WSP,-0.029956597998567584,0.0
CO,0.3130802815450851,0.0
NO,0.22289547928423553,0.0
NO2,0.4484320640214025,0.0
NOX,0.3041318036153929,0.0
O3,0.24128690759857765,0.0
PM10,0.5804814586396307,0.0
PM2.5,0.5007913956616064,0.0
SO2,0.1902211545058573,0.0
hora,-0.00024125594055493134,0.0
dia,-0.0006224394722135451,0.0
mes,-0.16378451869823493,0.0
PM10mean,1.0,0.0
PM25mean,0.8639864853330731,0.0
RH,-0.2376206674180849,1.0
RH,-0.23910847705340585,2.0
RH,-0.2409020703843894,3.0
RH,-0.2425728833743243,4.0
RH,-0.24385005293042206,5.0
RH,-0.24488663226489182,6.0
RH,-0.24582546986599293,7.0
RH,-0.24645275069980263,8.0
RH,-0.24684707397531996,9.0
RH,-0.2470841311661948,10.0
RH,-0.2472311262002687,11.0
RH,-0.24723681628819946,12.0
RH,-0.2469089895453417,13.0
RH,-0.2463562319819785,14.0
RH,-0.24583947035092252,15.0
RH,-0.24531437443094303,16.0
RH,-0.24479999518771015,17.0
RH,-0.24428162483249402,18.0
RH,-0.24387137376577622,19.0
RH,-0.24342351210102048,20.0
RH,-0.2433661359141596,21.0
RH,-0.2436510842852775,22.0
RH,-0.2443779872580099,23.0
RH,-0.2458013931107187,24.0
RH,-0.24741197705468282,25.0
RH,-0.24900176231025423,26.0
RH,-0.2503849090380307,27.0
RH,-0.2512162464285272,28.0
RH,-0.2513950108918865,29.0
RH,-0.2511475293882347,30.0
RH,-0.25054548408110916,31.0
RH,-0.24959154282593332,32.0
RH,-0.2487376599109494,33.0
RH,-0.2480600393060104,34.0
RH,-0.24745677095329435,35.0
RH,-0.2467265690274132,36.0
RH,-0.24571456431970348,37.0
RH,-0.2444393703966728,38.0
RH,-0.24300431622824326,39.0
RH,-0.24131596469693803,40.0
RH,-0.2395684964291126,41.0
RH,-0.23787111008688883,42.0
RH,-0.23637035330548106,43.0
RH,-0.23497508321200158,44.0
RH,-0.23394048618150914,45.0
RH,-0.2332349959317834,46.0
RH,-0.23279179372611156,47.0
RH,-0.23274336071776627,48.0
RH,-0.23294365053261387,49.0
RH,-0.23327492344963308,50.0
RH,-0.23336191350592686,51.0
RH,-0.2331225608332891,52.0
RH,-0.23235050365855778,53.0
RH,-0.23120085132622142,54.0
RH,-0.22996877571543967,55.0
RH,-0.22848360660181224,56.0
RH,-0.2271107695270252,57.0
RH,-0.2258308196290297,58.0
RH,-0.2244922088327673,59.0
RH,-0.22317711598281342,60.0
RH,-0.22186960006698347,61.0
RH,-0.22055996134693284,62.0
RH,-0.21926405951980607,63.0
RH,-0.21795056081828926,64.0
RH,-0.21654002836914424,65.0
RH,-0.21510477247250542,66.0
RH,-0.21393635297298588,67.0
RH,-0.2131240655386304,68.0
RH,-0.21245751093219697,69.0
RH,-0.21186077235395634,70.0
RH,-0.21150245860349082,71.0
RH,-0.2115155296693556,72.0
TMP,0.006544992155472934,1.0
TMP,0.00735048860899464,2.0
TMP,0.00782328288180505,3.0
TMP,0.007899179253841898,4.0
TMP,0.007554353953264343,5.0
TMP,0.006897651622864781,6.0
TMP,0.005927821410188327,7.0
TMP,0.004779669291255755,8.0
TMP,0.0034776279317496467,9.0
TMP,0.0020673257156291537,10.0
TMP,0.0005809725325651465,11.0
TMP,-0.0011152350071253119,12.0
TMP,-0.0030282499673117544,13.0
TMP,-0.005098157194771188,14.0
TMP,-0.007307566857513077,15.0
TMP,-0.009701543465897187,16.0
TMP,-0.012096738835169027,17.0
TMP,-0.01440427980117184,18.0
TMP,-0.016612342573286018,19.0
TMP,-0.018555502327113744,20.0
TMP,-0.020274015820312182,21.0
TMP,-0.021744556609732225,22.0
TMP,-0.0230020599624845,23.0
TMP,-0.02417737207975797,24.0
TMP,-0.025373839235604514,25.0
TMP,-0.026557374731071944,26.0
TMP,-0.027888540901519106,27.0
TMP,-0.02943266994737138,28.0
TMP,-0.031250285829494344,29.0
TMP,-0.03328853763300689,30.0
TMP,-0.0354883233735507,31.0
TMP,-0.0378646889745267,32.0
TMP,-0.040193223086093764,33.0
TMP,-0.04251251045564043,34.0
TMP,-0.044836359245464794,35.0
TMP,-0.047111673103197464,36.0
TMP,-0.049354488708645256,37.0
TMP,-0.051648224740939205,38.0
TMP,-0.05393637423560881,39.0
TMP,-0.056306111603004486,40.0
TMP,-0.058652869358383486,41.0
TMP,-0.06093985760336435,42.0
TMP,-0.0629835038674523,43.0
TMP,-0.06470677907419985,44.0
TMP,-0.06590221659509017,45.0
TMP,-0.06662529703477048,46.0
TMP,-0.06706260985692877,47.0
TMP,-0.0673079244673456,48.0
TMP,-0.0674736329217774,49.0
TMP,-0.06768952570805206,50.0
TMP,-0.06799596599606211,51.0
TMP,-0.06851503610969774,52.0
TMP,-0.06929605056112922,53.0
TMP,-0.07032644572128424,54.0
TMP,-0.07149947920576935,55.0
TMP,-0.07268929468600675,56.0
TMP,-0.07388856479702452,57.0
TMP,-0.07505841346368894,58.0
TMP,-0.07618625691913174,59.0
TMP,-0.07729587887723839,60.0
TMP,-0.0783987243962543,61.0
TMP,-0.07950055102966366,62.0
TMP,-0.08056406836312914,63.0
TMP,-0.08156356259078303,64.0
TMP,-0.08253740722636208,65.0
TMP,-0.08350251211045714,66.0
TMP,-0.0844124086978424,67.0
TMP,-0.08511208391208155,68.0
TMP,-0.08547052782887657,69.0
TMP,-0.08555626915487174,70.0
TMP,-0.0854844638699078,71.0
TMP,-0.08538721026930801,72.0
WSP,-0.03419714759484365,1.0
WSP,-0.03893916033753075,2.0
WSP,-0.04452991181834472,3.0
WSP,-0.05044928788559023,4.0
WSP,-0.05652659742606554,5.0
WSP,-0.06237603575642332,6.0
WSP,-0.06814019895629181,7.0
WSP,-0.07358382320600151,8.0
WSP,-0.0783064080730233,9.0
WSP,-0.08254036661005637,10.0
WSP,-0.08661439678609906,11.0
WSP,-0.09068266045736276,12.0
WSP,-0.09464581725907607,13.0
WSP,-0.09824029262240579,14.0
WSP,-0.10135711097372575,15.0
WSP,-0.10392087055233945,16.0
WSP,-0.10556588249890651,17.0
WSP,-0.10602876353027725,18.0
WSP,-0.10560874542017616,19.0
WSP,-0.10470004886746162,20.0
WSP,-0.10421056024516276,21.0
WSP,-0.1037929996132455,22.0
WSP,-0.10378900895098184,23.0
WSP,-0.10332183599056755,24.0
WSP,-0.10141538832097247,25.0
WSP,-0.09875462897672553,26.0
WSP,-0.09547630815982691,27.0
WSP,-0.09217700932375394,28.0
WSP,-0.08916882586344073,29.0
WSP,-0.0860941747615517,30.0
WSP,-0.08272963238158963,31.0
WSP,-0.0793246789458705,32.0
WSP,-0.07634064848938674,33.0
WSP,-0.0735167712320098,34.0
WSP,-0.07089157675137153,35.0
WSP,-0.06852923036119683,36.0
WSP,-0.06652547074399497,37.0
WSP,-0.06446535011852927,38.0
WSP,-0.06240599543118637,39.0
WSP,-0.06007198816424022,40.0
WSP,-0.057164508796585,41.0
WSP,-0.054181842143028125,42.0
WSP,-0.0509855697330705,43.0
WSP,-0.047752894257520696,44.0
WSP,-0.04451484397573686,45.0
WSP,-0.041587061660626756,46.0
WSP,-0.039176276412469346,47.0
WSP,-0.03710944692707927,48.0
WSP,-0.034958193968462704,49.0
WSP,-0.03263917370665023,50.0
WSP,-0.030046209468515654,51.0
WSP,-0.027511762134829205,52.0
WSP,-0.025385702786109177,53.0
WSP,-0.02364317406139663,54.0
WSP,-0.021654938600676653,55.0
WSP,-0.01921054423812237,56.0
WSP,-0.017060817338189177,57.0
WSP,-0.014881183934020803,58.0
WSP,-0.012893760879002415,59.0
WSP,-0.011327050633410697,60.0
WSP,-0.009833956975658562,61.0
WSP,-0.00863163070827229,62.0
WSP,-0.007173116417804605,63.0
WSP,-0.005727751810938946,64.0
WSP,-0.004082919101046311,65.0
WSP,-0.002093203494779435,66.0
WSP,9.014027115035376e-05,67.0
WSP,0.0024394565479708753,68.0
WSP,0.00471636133285666,69.0
WSP,0.006654977228325058,70.0
WSP,0.00885090372686163,71.0
WSP,0.010593759241966615,72.0
CO,0.3234593180858876,1.0
CO,0.3315075834217473,2.0
CO,0.33846534567028275,3.0
CO,0.3450143854268637,4.0
CO,0.351548851219254,5.0
CO,0.3579360064579394,6.0
CO,0.36387677623974984,7.0
CO,0.3689545233462368,8.0
CO,0.373075419350605,9.0
CO,0.37636771387776535,10.0
CO,0.3788743330589566,11.0
CO,0.3808705158244469,12.0
CO,0.38251934367715085,13.0
CO,0.383917654036151,14.0
