,fecha,UVA,UVB,PA,CO,NO,NO2,NOX,O3,PM2.5,PMCO,SO2,RH,TMP,WSP,WDR,PM10,Precip
0,2016-01-01,0.6699583333333332,0.41091666666666665,583.6666666666666,0.991666666666667,21.5,33.25,54.708333333333336,28.416666666666668,111.04166666666667,43.0,34.083333333333336,61.083333333333336,15.15,2.4166666666666665,312.7083333333333,154.08333333333334,0.0
1,2016-01-02,0.7039999999999998,0.4592916666666667,583.5,0.6666666666666666,12.166666666666666,26.458333333333332,38.625,23.416666666666668,29.291666666666668,22.625,7.291666666666667,56.208333333333336,16.354166666666668,1.5333333333333334,207.04166666666666,52.0,0.0
2,2016-01-03,0.5994583333333333,0.38358333333333333,582.75,0.6583333333333332,23.5,27.541666666666668,51.083333333333336,13.125,26.833333333333332,26.5,24.583333333333332,56.791666666666664,16.037499999999998,1.8416666666666668,294.0833333333333,53.416666666666664,0.0
3,2016-01-04,0.37095,0.24380000000000002,582.65,0.9700000000000001,51.4,35.1,86.7,4.7,45.1,33.25,16.4,71.65,11.81,1.705,265.25,78.3,0.0
4,2016-01-05,0.8845000000000001,0.5950500000000001,582.65,0.9999999999999998,56.85,25.35,82.4,12.1,18.35,21.5,3.4,50.2,14.284999999999997,1.8150000000000002,227.55,39.8,0.0
5,2016-01-06,0.8887916666666665,0.56875,582.5,0.6875000000000001,31.708333333333332,24.375,56.291666666666664,15.958333333333334,13.541666666666666,19.875,1.9583333333333333,42.5,14.600000000000001,2.2291666666666665,184.25,33.333333333333336,0.0
6,2016-01-07,0.41895,0.20700000000000002,581.4,0.5850000000000001,18.4,24.95,43.5,14.75,10.5,17.85,1.65,42.35,13.265,2.3399999999999994,201.85,28.3,0.0
7,2016-01-08,0.7849166666666667,0.4842083333333333,580.9166666666666,0.6083333333333334,19.416666666666668,27.208333333333332,46.416666666666664,17.625,9.791666666666666,20.916666666666668,1.5833333333333333,34.708333333333336,14.120833333333335,2.420833333333334,195.58333333333334,30.75,0.0
8,2016-01-09,0.808875,0.5447916666666667,580.9583333333334,0.8958333333333329,42.166666666666664,34.625,76.83333333333333,23.75,21.125,31.041666666666668,2.6666666666666665,33.416666666666664,13.829166666666671,2.020833333333333,187.5,52.041666666666664,0.0
9,2016-01-12,0.42700000000000005,0.2798333333333333,582.9166666666666,1.2583333333333335,58.833333333333336,47.708333333333336,106.625,9.5,25.333333333333332,38.333333333333336,4.166666666666667,40.666666666666664,12.616666666666669,1.1666666666666667,191.5,64.0,0.0
10,2016-01-13,0.33079166666666665,0.21920833333333334,583.0833333333334,0.9916666666666668,33.708333333333336,38.416666666666664,72.08333333333333,10.583333333333334,20.166666666666668,22.375,9.666666666666666,67.0,10.045833333333334,1.991666666666667,170.29166666666666,42.541666666666664,0.0
11,2016-01-14,0.8745416666666667,0.615125,580.9583333333334,0.8666666666666666,37.791666666666664,23.75,61.583333333333336,14.083333333333334,12.375,16.166666666666668,1.8333333333333333,57.916666666666664,13.2125,2.875,175.70833333333334,28.583333333333332,0.0
12,2016-01-15,0.9398749999999999,0.6299583333333334,580.875,1.0291666666666666,54.75,30.833333333333332,85.625,23.458333333333332,15.0,21.458333333333332,2.7916666666666665,31.083333333333332,14.75,1.9583333333333333,176.95833333333334,36.416666666666664,0.0
13,2016-01-16,0.48047826086956524,0.3348260869565217,581.4782608695652,1.556521739130435,84.47826086956522,48.130434782608695,132.7826086956522,9.565217391304348,25.08695652173913,37.56521739130435,4.478260869565218,26.91304347826087,13.26086956521739,1.0695652173913044,217.17391304347825,62.69565217391305,0.0
14,2016-01-17,0.9705714285714286,0.6288571428571428,582.1904761904761,1.0761904761904764,34.76190476190476,42.80952380952381,77.52380952380952,29.047619047619047,26.285714285714285,31.80952380952381,5.0476190476190474,23.523809523809526,14.433333333333334,1.6619047619047618,170.9047619047619,58.23809523809524,0.0
15,2016-01-18,0.5539090909090908,0.34977272727272724,583.2272727272727,1.263636363636364,60.63636363636363,49.40909090909091,110.04545454545455,21.454545454545453,36.36363636363637,51.86363636363637,8.363636363636363,42.72727272727273,11.840909090909093,2.1227272727272726,274.90909090909093,88.18181818181819,0.0
16,2016-01-19,0.59075,0.385375,584.2916666666666,1.1083333333333334,42.958333333333336,49.458333333333336,92.41666666666667,19.916666666666668,47.375,40.208333333333336,20.0,52.333333333333336,12.004166666666668,1.3166666666666667,218.66666666666666,87.58333333333333,0.0
17,2016-01-20,0.38085714285714284,0.217047619047619,583.5714285714286,1.1619047619047618,45.57142857142857,46.0,91.66666666666667,16.904761904761905,32.523809523809526,32.333333333333336,11.380952380952381,37.714285714285715,13.299999999999997,1.3523809523809525,249.1904761904762,64.9047619047619,0.0
18,2016-01-21,0.8458749999999999,0.5592916666666666,583.125,1.433333333333333,62.166666666666664,49.416666666666664,111.75,21.25,29.541666666666668,40.541666666666664,9.0,31.208333333333332,14.037500000000001,1.3625,244.95833333333334,70.16666666666667,0.0
19,2016-01-22,0.9005714285714287,0.5901904761904762,583.9047619047619,1.0571428571428572,33.04761904761905,43.23809523809524,76.23809523809524,35.23809523809524,33.57142857142857,41.19047619047619,5.857142857142857,38.523809523809526,13.62857142857143,1.8333333333333333,266.2857142857143,74.57142857142857,0.0
20,2016-01-23,1.1021904761904762,0.6651428571428573,585.6190476190476,0.9761904761904764,42.857142857142854,45.80952380952381,88.80952380952381,25.095238095238095,36.95238095238095,40.666666666666664,12.571428571428571,31.904761904761905,13.785714285714283,1.8238095238095238,189.04761904761904,77.57142857142857,0.0
21,2016-01-24,0.7843125000000003,0.5043333333333334,584.2083333333334,1.3083333333333338,39.125,52.583333333333336,91.75,32.125,44.791666666666664,43.75,5.9375,34.520833333333336,13.21458333333333,1.1625,153.77083333333334,88.6875,0.0
22,2016-01-25,0.8248222222222221,0.5738666666666665,583.0888888888888,1.5400000000000003,53.355555555555554,62.355555555555554,115.84444444444445,26.622222222222224,48.24444444444445,53.28888888888889,5.288888888888889,40.044444444444444,14.73111111111111,1.3599999999999999,175.0222222222222,101.44444444444444,0.0
