,fecha,hora,dia,mes,id_station,UVA,UVB,PA,CO,NO,NO2,NOX,O3,PM2.5,PMCO,SO2,RH,TMP,WSP,WDR,PM10
1,2016-01-01 01:00:00,1,1,1,TLA,0.0,0.0,584.0,1.0,9.0,48.0,58.0,4.0,76.0,28.0,52.0,57.0,15.4,0.8,278.0,104.0
3,2016-01-01 02:00:00,2,1,1,TLA,0.0,0.0,583.0,1.2,19.0,44.0,63.0,5.0,123.0,44.0,36.0,60.0,14.6,1.9,326.0,168.0
5,2016-01-01 03:00:00,3,1,1,TLA,0.0,0.0,583.0,1.6,46.0,50.0,97.0,3.0,212.0,79.0,55.0,64.0,13.5,2.2,329.0,291.0
7,2016-01-01 04:00:00,4,1,1,TLA,0.0,0.0,583.0,1.5,53.0,45.0,98.0,3.0,184.0,58.0,56.0,68.0,12.8,1.7,313.0,242.0
9,2016-01-01 05:00:00,5,1,1,TLA,0.0,0.0,583.0,1.4,56.0,42.0,98.0,3.0,175.0,54.0,80.0,72.0,12.0,1.8,313.0,229.0
11,2016-01-01 06:00:00,6,1,1,TLA,0.0,0.0,583.0,1.2,39.0,38.0,77.0,3.0,149.0,43.0,78.0,76.0,11.3,2.2,313.0,192.0
13,2016-01-01 07:00:00,7,1,1,TLA,0.0,0.0,584.0,1.2,35.0,33.0,68.0,3.0,153.0,42.0,53.0,78.0,10.5,2.4,315.0,194.0
15,2016-01-01 08:00:00,8,1,1,TLA,0.09699999999999999,0.002,584.0,1.6,51.0,30.0,82.0,3.0,181.0,48.0,32.0,79.0,10.1,1.4,316.0,229.0
17,2016-01-01 09:00:00,9,1,1,TLA,0.47700000000000004,0.115,584.0,1.8,52.0,38.0,89.0,5.0,195.0,49.0,22.0,74.0,11.1,1.2,334.0,244.0
19,2016-01-01 10:00:00,10,1,1,TLA,1.012,0.423,585.0,1.4,48.0,40.0,88.0,8.0,206.0,61.0,29.0,74.0,11.2,2.9,334.0,267.0
21,2016-01-01 11:00:00,11,1,1,TLA,1.7169999999999999,0.981,585.0,1.1,31.0,36.0,67.0,17.0,176.0,48.0,35.0,71.0,12.2,3.0,334.0,224.0
23,2016-01-01 12:00:00,12,1,1,TLA,2.398,1.673,585.0,1.2,23.0,45.0,68.0,38.0,188.0,55.0,39.0,57.0,15.8,2.4,338.0,243.0
25,2016-01-01 13:00:00,13,1,1,TLA,2.839,2.205,584.0,0.8,7.0,29.0,37.0,71.0,121.0,44.0,28.0,46.0,18.7,2.4,320.0,164.0
