,fecha,hora,dia,mes,id_station,UVA,UVB,PA,CO,NO,NO2,NOX,O3,PM2.5,PMCO,SO2,RH,TMP,WSP,WDR,PM10
0,2012-01-01 01:00:00,1,1,1,MER,0.0,0.0,587.0,1.7,48.0,45.0,93.0,1.0,62.0,28.0,7.0,64.0,11.2,1.4,21.0,90.0
1,2012-01-01 02:00:00,2,1,1,MER,0.0,0.0,587.0,1.9,54.0,46.0,101.0,1.0,102.0,47.0,10.0,68.0,10.7,1.9,20.0,148.0
2,2012-01-01 03:00:00,3,1,1,MER,0.0,0.0,587.0,1.9,56.0,46.0,102.0,1.0,111.0,45.0,9.0,71.0,10.2,0.8,302.0,156.0
3,2012-01-01 04:00:00,4,1,1,MER,0.0,0.0,587.0,2.3,82.0,44.0,126.0,2.0,113.0,43.0,9.0,72.0,9.9,0.9,197.0,156.0
4,2012-01-01 05:00:00,5,1,1,MER,0.0,0.0,587.0,2.3,81.0,40.0,122.0,1.0,103.0,37.0,8.0,71.0,9.9,0.7,120.0,141.0
5,2012-01-01 06:00:00,6,1,1,MER,0.0,0.0,588.0,2.4,104.0,40.0,144.0,2.0,107.0,39.0,8.0,73.0,9.5,0.8,42.0,145.0
6,2012-01-01 07:00:00,7,1,1,MER,0.0,0.0,588.0,2.6,100.0,41.0,141.0,2.0,137.0,45.0,7.0,78.0,8.6,0.7,105.0,183.0
7,2012-01-01 08:00:00,8,1,1,MER,0.141,0.022000000000000002,589.0,2.3,89.0,38.0,127.0,2.0,118.0,38.0,6.0,73.0,8.6,1.3,354.0,156.0
8,2012-01-01 09:00:00,9,1,1,MER,0.7140000000000001,0.174,589.0,1.7,54.0,43.0,98.0,5.0,106.0,36.0,7.0,65.0,9.9,1.5,32.0,142.0
9,2012-01-01 10:00:00,10,1,1,MER,1.308,0.531,590.0,2.1,48.0,69.0,117.0,15.0,172.0,51.0,8.0,62.0,11.2,1.3,100.0,223.0
10,2012-01-01 11:00:00,11,1,1,MER,2.129,1.1059999999999999,589.0,1.9,24.0,72.0,96.0,36.0,162.0,47.0,9.0,52.0,13.9,0.9,324.0,209.0
11,2012-01-01 12:00:00,12,1,1,MER,3.1719999999999997,1.919,589.0,1.0,13.0,45.0,58.0,49.0,84.0,27.0,9.0,36.0,17.4,2.6,345.0,111.0
12,2012-01-01 13:00:00,13,1,1,MER,3.877,2.503,588.0,0.4,3.0,16.0,19.0,59.0,43.0,19.0,7.0,29.0,19.5,4.2,8.0,63.0
13,2012-01-01 14:00:00,14,1,1,MER,3.654,2.336,587.0,0.3,3.0,12.0,15.0,51.0,27.0,24.0,5.0,27.0,20.6,4.2,3.0,51.0
14,2012-01-01 15:00:00,15,1,1,MER,3.105,1.794,587.0,0.3,5.0,10.0,15.0,39.0,10.0,31.0,3.0,21.0,21.4,5.4,359.0,41.0
15,2012-01-01 16:00:00,16,1,1,MER,2.079,0.992,586.0,0.3,6.0,12.0,18.0,34.0,5.0,31.0,2.0,21.0,21.0,4.8,1.0,36.0
16,2012-01-01 17:00:00,17,1,1,MER,1.196,0.371,587.0,0.3,4.0,13.0,17.0,31.0,5.0,45.0,2.0,26.0,19.1,5.5,7.0,50.0
17,2012-01-01 18:00:00,18,1,1,MER,0.44799999999999995,0.096,587.0,0.4,8.0,19.0,27.0,23.0,10.0,47.0,2.0,34.0,17.1,5.7,349.0,57.0
18,2012-01-01 19:00:00,19,1,1,MER,0.02,0.03,588.0,0.4,4.0,17.0,21.0,20.0,8.0,32.0,2.0,45.0,14.8,4.6,356.0,41.0
19,2012-01-01 20:00:00,20,1,1,MER,0.0,0.0,589.0,0.4,7.0,19.0,26.0,17.0,15.0,19.0,2.0,49.0,13.6,4.2,347.0,34.0
20,2012-01-01 21:00:00,21,1,1,MER,0.0,0.0,590.0,0.5,10.0,23.0,33.0,14.0,12.0,15.0,2.0,52.0,13.1,3.9,334.0,27.0
21,2012-01-01 22:00:00,22,1,1,MER,0.0,0.0,590.0,0.4,7.0,19.0,26.0,16.0,12.0,13.0,2.0,59.0,12.7,4.5,338.0,25.0
22,2012-01-01 23:00:00,23,1,1,MER,0.0,0.0,590.0,0.4,5.0,18.0,23.0,15.0,10.0,9.0,2.0,64.0,12.3,4.1,348.0,19.0
23,2012-01-01 00:00:00,0,1,1,MER,0.0,0.0,590.0,0.3,4.0,14.0,18.0,16.0,9.0,7.0,2.0,65.0,12.0,4.0,342.0,16.0
24,2012-02-01 01:00:00,1,1,2,MER,0.0,0.0,587.0,0.9,30.0,37.0,67.0,0.0,23.0,14.0,6.0,75.0,11.8,1.7,310.0,37.0
26,2012-02-01 01:00:00,1,1,2,TLA,0.0,0.0,584.0,0.6,32.0,32.0,64.0,2.0,17.0,10.0,4.0,84.0,10.2,1.3,254.0,27.0
27,2012-02-01 02:00:00,2,1,2,MER,0.0,0.0,587.0,0.8,21.0,33.0,54.0,0.0,19.0,13.0,6.0,76.0,11.4,1.4,325.0,32.0
28,2012-02-01 02:00:00,2,1,2,TLA,0.0,0.0,584.0,0.3,16.0,25.0,41.0,4.0,10.0,7.0,3.0,82.0,9.9,0.8,263.0,16.0
29,2012-02-01 03:00:00,3,1,2,MER,0.0,0.0,587.0,0.7,26.0,30.0,55.0,0.0,18.0,15.0,5.0,76.0,11.2,1.2,352.0,34.0
31,2012-02-01 03:00:00,3,1,2,TLA,0.0,0.0,584.0,0.3,14.0,25.0,39.0,3.0,13.0,6.0,3.0,82.0,9.8,1.1,252.0,19.0
32,2012-02-01 04:00:00,4,1,2,MER,0.0,0.0,587.0,0.8,35.0,32.0,67.0,0.0,21.0,17.0,5.0,80.0,11.0,1.4,7.0,38.0
34,2012-02-01 04:00:00,4,1,2,TLA,0.0,0.0,584.0,0.3,19.0,23.0,42.0,3.0,10.0,8.0,3.0,84.0,9.6,0.8,255.0,18.0
35,2012-02-01 05:00:00,5,1,2,MER,0.0,0.0,586.0,0.8,32.0,32.0,64.0,0.0,20.0,15.0,4.0,84.0,10.6,1.1,36.0,35.0
37,2012-02-01 05:00:00,5,1,2,TLA,0.0,0.0,583.0,0.4,33.0,24.0,56.0,2.0,17.0,11.0,3.0,85.0,9.3,0.8,275.0,28.0
38,2012-02-01 06:00:00,6,1,2,MER,0.0,0.0,586.0,1.1,58.0,32.0,91.0,0.0,27.0,18.0,4.0,85.0,10.6,1.0,29.0,45.0
40,2012-02-01 06:00:00,6,1,2,TLA,0.0,0.0,584.0,0.4,41.0,21.0,62.0,2.0,11.0,10.0,3.0,83.0,9.3,0.9,271.0,21.0
41,2012-02-01 07:00:00,7,1,2,MER,0.004,0.001,587.0,1.7,114.0,33.0,148.0,1.0,30.0,28.0,5.0,84.0,10.6,1.2,51.0,58.0
43,2012-02-01 07:00:00,7,1,2,TLA,0.0,0.0,584.0,1.5,146.0,27.0,175.0,2.0,21.0,34.0,5.0,86.0,9.4,0.8,293.0,56.0
44,2012-02-01 08:00:00,8,1,2,MER,0.10800000000000001,0.023,587.0,2.0,116.0,31.0,147.0,0.0,24.0,28.0,5.0,82.0,10.6,1.1,64.0,51.0
46,2012-02-01 08:00:00,8,1,2,TLA,0.0,0.0,584.0,2.8,300.0,38.0,338.0,2.0,21.0,34.0,9.0,86.0,9.7,0.5,334.0,56.0
47,2012-02-01 09:00:00,9,1,2,MER,0.7,0.2,587.0,2.3,130.0,38.0,168.0,1.0,27.0,33.0,6.0,79.0,11.2,0.7,57.0,60.0
49,2012-02-01 09:00:00,9,1,2,TLA,0.0,0.0,584.0,2.8,300.0,38.0,338.0,2.0,45.0,60.0,9.0,82.0,10.4,1.0,261.0,105.0
50,2012-02-01 10:00:00,10,1,2,MER,1.194,0.56,588.0,2.6,132.0,52.0,184.0,3.0,45.0,37.0,7.0,73.0,12.5,1.0,54.0,82.0
52,2012-02-01 10:00:00,10,1,2,TLA,0.0,0.0,585.0,2.5,160.0,43.0,203.0,4.0,34.0,38.0,9.0,74.0,11.5,0.4,137.0,73.0
