,fecha,hora,dia,mes,id_station,UVA,UVB,PA,CO,NO,NO2,NOX,O3,PM2.5,PMCO,SO2,RH,TMP,WSP,WDR,PM10
1,2017-01-01,1,1,1,MER,0.0,0.0,585.0,1.3,22.0,47.0,69.0,3.0,46.0,27.0,5.0,63.0,14.4,0.8,205.0,73.0
3,2017-01-01,2,1,1,MER,0.0,0.0,585.0,1.3,18.0,45.0,62.0,1.0,73.0,32.0,6.0,67.0,13.7,0.8,144.0,105.0
5,2017-01-01,3,1,1,MER,0.0,0.0,585.0,1.2,11.0,41.0,52.0,2.0,74.0,29.0,5.0,66.0,13.6,0.5,164.0,103.0
7,2017-01-01,4,1,1,MER,0.0,0.0,585.0,1.4,31.0,40.0,70.0,2.0,84.0,30.0,5.0,66.0,13.5,0.7,183.0,114.0
9,2017-01-01,5,1,1,MER,0.0,0.0,585.0,1.5,32.0,38.0,70.0,1.0,100.0,36.0,5.0,70.0,12.6,1.1,162.0,136.0
11,2017-01-01,6,1,1,MER,0.0,0.0,585.0,1.3,22.0,37.0,59.0,1.0,113.0,35.0,5.0,71.0,12.3,0.8,166.0,149.0
13,2017-01-01,7,1,1,MER,0.0,0.0,585.0,1.3,25.0,37.0,61.0,2.0,107.0,34.0,5.0,72.0,11.9,0.8,176.0,141.0
15,2017-01-01,8,1,1,MER,0.0,0.0,585.0,1.3,22.0,34.0,56.0,2.0,104.0,31.0,4.0,73.0,11.6,0.8,160.0,134.0
17,2017-01-01,9,1,1,MER,0.0,0.0,586.0,1.6,41.0,43.0,83.0,5.0,114.0,38.0,5.0,70.0,12.4,1.1,128.0,152.0
19,2017-01-01,10,1,1,MER,0.0,0.0,586.0,1.7,30.0,58.0,88.0,16.0,157.0,52.0,7.0,64.0,13.8,1.0,149.0,209.0
21,2017-01-01,11,1,1,MER,0.0,0.0,586.0,1.2,13.0,42.0,54.0,43.0,125.0,40.0,6.0,57.0,15.6,1.1,69.0,165.0
22,2017-01-01,11,1,1,TLA,0.0,0.0,584.0,0.6,8.0,21.0,30.0,47.0,56.0,35.0,3.0,44.0,16.7,0.5,146.0,91.0
24,2017-01-01,12,1,1,MER,0.0,0.0,586.0,0.6,5.0,23.0,27.0,64.0,65.0,25.0,4.0,48.0,17.5,1.6,24.0,90.0
25,2017-01-01,12,1,1,TLA,0.0,0.0,584.0,0.6,6.0,21.0,27.0,61.0,44.0,20.0,3.0,40.0,17.6,1.3,356.0,63.0
27,2017-01-01,13,1,1,MER,0.0,0.0,585.0,0.4,3.0,16.0,19.0,73.0,47.0,21.0,3.0,39.0,19.2,1.8,121.0,69.0
28,2017-01-01,13,1,1,TLA,0.0,0.0,583.0,0.5,4.0,17.0,21.0,71.0,40.0,20.0,3.0,35.0,19.0,0.3,131.0,60.0
30,2017-01-01,14,1,1,MER,0.0,0.0,584.0,0.4,1.0,12.0,14.0,83.0,40.0,20.0,3.0,37.0,19.8,2.2,101.0,60.0
31,2017-01-01,14,1,1,TLA,0.0,0.0,582.0,0.5,1.0,11.0,13.0,88.0,28.0,10.0,2.0,32.0,19.6,1.4,99.0,38.0
33,2017-01-01,15,1,1,MER,0.0,0.0,584.0,0.4,1.0,14.0,14.0,86.0,45.0,19.0,3.0,36.0,20.2,1.5,135.0,63.0
34,2017-01-01,15,1,1,TLA,0.0,0.0,582.0,0.5,1.0,12.0,13.0,91.0,36.0,39.0,1.0,29.0,20.8,1.0,195.0,75.0
36,2017-01-01,16,1,1,MER,0.0,0.0,584.0,0.4,1.0,14.0,15.0,84.0,23.0,18.0,3.0,35.0,20.7,2.1,43.0,40.0
37,2017-01-01,16,1,1,TLA,0.0,0.0,582.0,0.5,0.0,12.0,12.0,92.0,36.0,41.0,1.0,28.0,21.0,0.4,155.0,77.0
39,2017-01-01,17,1,1,MER,0.0,0.0,584.0,0.4,1.0,15.0,16.0,59.0,20.0,19.0,2.0,37.0,20.6,2.3,148.0,39.0
40,2017-01-01,17,1,1,TLA,0.0,0.0,582.0,0.5,2.0,15.0,17.0,87.0,32.0,20.0,1.0,29.0,20.7,0.7,129.0,52.0
42,2017-01-01,18,1,1,MER,0.0,0.0,584.0,0.4,2.0,20.0,22.0,47.0,38.0,27.0,2.0,42.0,19.6,3.4,146.0,65.0
45,2017-01-01,19,1,1,MER,0.0,0.0,584.0,0.4,1.0,22.0,24.0,41.0,11.0,24.0,2.0,46.0,18.3,3.3,161.0,35.0
48,2017-01-01,20,1,1,MER,0.0,0.0,585.0,0.8,5.0,39.0,44.0,24.0,32.0,26.0,2.0,49.0,17.4,2.1,158.0,58.0
51,2017-01-01,21,1,1,MER,0.0,0.0,585.0,0.9,7.0,59.0,66.0,13.0,37.0,29.0,2.0,51.0,16.5,1.4,136.0,67.0
52,2017-01-01,21,1,1,TLA,0.0,0.0,583.0,0.8,5.0,37.0,42.0,18.0,27.0,31.0,2.0,46.0,16.5,1.2,112.0,58.0
54,2017-01-01,22,1,1,MER,0.0,0.0,585.0,1.1,13.0,59.0,73.0,5.0,34.0,30.0,3.0,52.0,16.0,0.8,113.0,64.0
55,2017-01-01,22,1,1,TLA,0.0,0.0,583.0,0.7,3.0,32.0,36.0,21.0,17.0,15.0,1.0,48.0,15.8,1.5,110.0,32.0
57,2017-01-01,23,1,1,MER,0.0,0.0,585.0,1.8,76.0,64.0,140.0,2.0,43.0,45.0,4.0,54.0,15.3,1.0,145.0,88.0
58,2017-01-01,23,1,1,TLA,0.0,0.0,583.0,1.0,8.0,55.0,63.0,6.0,22.0,25.0,2.0,49.0,15.1,1.4,108.0,47.0
60,2017-01-01,0,1,1,MER,0.0,0.0,585.0,2.0,88.0,65.0,154.0,2.0,71.0,57.0,4.0,56.0,14.6,1.0,142.0,128.0
61,2017-01-01,0,1,1,TLA,0.0,0.0,583.0,1.1,20.0,53.0,73.0,5.0,19.0,24.0,2.0,52.0,14.4,0.4,137.0,43.0
63,2017-02-01,1,1,2,MER,0.0,0.0,585.0,0.8,9.0,52.0,61.0,6.0,46.0,48.0,18.0,47.0,14.9,2.8,298.0,94.0
66,2017-02-01,2,1,2,MER,0.0,0.0,585.0,0.7,3.0,43.0,47.0,9.0,36.0,32.0,57.0,52.0,14.0,1.8,305.0,69.0
69,2017-02-01,3,1,2,MER,0.0,0.0,585.0,0.6,5.0,45.0,50.0,6.0,37.0,25.0,89.0,55.0,13.1,0.9,324.0,61.0
72,2017-02-01,4,1,2,MER,0.0,0.0,585.0,0.7,12.0,48.0,61.0,3.0,41.0,59.0,32.0,57.0,12.3,1.3,68.0,100.0
74,2017-02-01,5,1,2,MER,0.0,0.0,585.0,0.8,16.0,51.0,67.0,2.0,50.0,45.0,30.0,61.0,11.5,0.7,125.0,95.0
77,2017-02-01,6,1,2,MER,0.0,0.0,585.0,1.2,64.0,58.0,123.0,1.0,55.0,51.0,38.0,60.0,11.9,0.9,105.0,106.0
80,2017-02-01,7,1,2,MER,0.0,0.0,585.0,1.5,82.0,65.0,146.0,1.0,50.0,63.0,19.0,59.0,11.3,1.0,64.0,113.0
