,fecha,hora,dia,mes,id_station,UVA,UVB,PA,CO,NO,NO2,NOX,O3,PM2.5,PMCO,SO2,RH,TMP,WSP,WDR,PM10
0,2015-01-01 01:00:00,1,1,1,MER,0.0,0.0,586.0,1.6,37.0,49.0,86.0,3.0,84.0,38.0,63.0,70.0,11.9,1.3,317.0,123.0
2,2015-01-01 02:00:00,2,1,1,MER,0.0,0.0,586.0,1.8,79.0,42.0,121.0,2.0,79.0,34.0,31.0,77.0,10.7,0.9,103.0,113.0
4,2015-01-01 03:00:00,3,1,1,MER,0.0,0.0,586.0,1.7,71.0,33.0,104.0,2.0,87.0,31.0,19.0,81.0,9.6,0.8,61.0,118.0
9,2015-01-01 06:00:00,6,1,1,MER,0.0,0.0,586.0,1.6,46.0,30.0,76.0,3.0,123.0,36.0,59.0,87.0,7.9,0.9,34.0,159.0
11,2015-01-01 07:00:00,7,1,1,MER,0.0,0.0,586.0,1.8,67.0,29.0,96.0,3.0,120.0,36.0,46.0,89.0,7.6,1.1,29.0,155.0
13,2015-01-01 08:00:00,8,1,1,MER,0.10300000000000001,0.013000000000000001,587.0,2.1,88.0,29.0,117.0,4.0,146.0,42.0,41.0,88.0,7.7,0.9,18.0,188.0
15,2015-01-01 09:00:00,9,1,1,MER,0.557,0.13699999999999998,587.0,2.2,85.0,41.0,126.0,5.0,154.0,44.0,28.0,80.0,9.4,1.2,101.0,198.0
17,2015-01-01 10:00:00,10,1,1,MER,1.28,0.5,587.0,1.6,41.0,49.0,90.0,13.0,177.0,46.0,28.0,71.0,11.6,1.5,68.0,222.0
19,2015-01-01 11:00:00,11,1,1,MER,2.088,1.09,587.0,1.5,21.0,51.0,73.0,38.0,165.0,43.0,30.0,60.0,14.4,1.5,57.0,207.0
21,2015-01-01 12:00:00,12,1,1,MER,2.92,1.8259999999999998,587.0,1.2,10.0,39.0,49.0,64.0,127.0,37.0,17.0,50.0,16.6,1.9,45.0,165.0
23,2015-01-01 13:00:00,13,1,1,MER,3.5260000000000002,2.401,585.0,0.6,4.0,17.0,21.0,61.0,33.0,18.0,4.0,38.0,20.5,2.0,95.0,51.0
25,2015-01-01 14:00:00,14,1,1,MER,3.7910000000000004,2.556,585.0,0.4,3.0,10.0,13.0,54.0,22.0,15.0,2.0,33.0,19.9,2.2,107.0,37.0
27,2015-01-01 15:00:00,15,1,1,MER,3.25,1.989,584.0,0.5,4.0,12.0,15.0,53.0,19.0,16.0,2.0,32.0,20.6,2.8,140.0,35.0
29,2015-01-01 16:00:00,16,1,1,MER,2.34,1.167,584.0,0.4,3.0,10.0,12.0,45.0,14.0,17.0,1.0,31.0,20.6,3.6,118.0,32.0
31,2015-01-01 17:00:00,17,1,1,MER,1.45,0.499,584.0,0.4,4.0,12.0,17.0,39.0,10.0,11.0,1.0,29.0,20.8,3.2,140.0,21.0
33,2015-01-01 18:00:00,18,1,1,MER,0.47700000000000004,0.09,584.0,0.5,6.0,20.0,26.0,29.0,10.0,8.0,1.0,33.0,19.4,3.3,148.0,18.0
35,2015-01-01 19:00:00,19,1,1,MER,0.024,0.004,585.0,0.6,7.0,27.0,34.0,19.0,12.0,14.0,2.0,40.0,16.8,3.0,159.0,26.0
37,2015-01-01 20:00:00,20,1,1,MER,0.0,0.0,585.0,1.1,27.0,43.0,71.0,7.0,25.0,18.0,3.0,46.0,15.4,1.7,152.0,44.0
39,2015-01-01 21:00:00,21,1,1,MER,0.0,0.0,585.0,1.3,32.0,43.0,75.0,4.0,27.0,18.0,3.0,47.0,14.6,2.1,167.0,45.0
41,2015-01-01 22:00:00,22,1,1,MER,0.0,0.0,586.0,1.3,34.0,41.0,74.0,3.0,23.0,21.0,3.0,49.0,13.7,2.0,178.0,44.0
43,2015-01-01 23:00:00,23,1,1,MER,0.0,0.0,585.0,1.5,61.0,44.0,105.0,2.0,34.0,30.0,4.0,53.0,12.7,1.4,142.0,64.0
45,2015-01-01 00:00:00,0,1,1,MER,0.0,0.0,585.0,1.5,66.0,41.0,107.0,2.0,27.0,24.0,3.0,53.0,12.1,1.1,192.0,51.0
96,2015-03-01 03:00:00,3,1,3,TLA,0.0,0.0,583.0,0.7,8.0,36.0,44.0,4.0,28.0,17.0,9.0,46.0,14.1,0.9,290.0,45.0
98,2015-03-01 04:00:00,4,1,3,TLA,0.0,0.0,583.0,0.7,11.0,33.0,44.0,5.0,19.0,16.0,4.0,46.0,13.3,1.3,246.0,34.0
100,2015-03-01 05:00:00,5,1,3,TLA,0.0,0.0,583.0,0.5,3.0,27.0,30.0,9.0,10.0,13.0,3.0,48.0,12.5,1.4,257.0,24.0
102,2015-03-01 06:00:00,6,1,3,TLA,0.0,0.0,584.0,0.6,5.0,28.0,33.0,8.0,12.0,12.0,3.0,49.0,12.0,1.2,246.0,24.0
104,2015-03-01 07:00:00,7,1,3,TLA,0.004,0.001,584.0,0.7,11.0,31.0,41.0,3.0,19.0,13.0,3.0,52.0,11.3,1.3,259.0,32.0
106,2015-03-01 08:00:00,8,1,3,TLA,0.258,0.05,584.0,1.3,68.0,32.0,101.0,2.0,19.0,23.0,5.0,53.0,11.6,1.1,266.0,43.0
108,2015-03-01 09:00:00,9,1,3,TLA,1.035,0.319,585.0,1.7,104.0,42.0,146.0,5.0,31.0,40.0,12.0,44.0,14.6,0.6,271.0,70.0
110,2015-03-01 10:00:00,10,1,3,TLA,2.0180000000000002,0.9840000000000001,585.0,1.4,71.0,56.0,127.0,14.0,51.0,52.0,16.0,38.0,16.9,0.8,136.0,103.0
112,2015-03-01 11:00:00,11,1,3,TLA,3.108,1.8619999999999999,585.0,1.1,36.0,50.0,86.0,31.0,41.0,43.0,11.0,33.0,18.7,0.1,92.0,84.0
114,2015-03-01 12:00:00,12,1,3,TLA,3.737,2.228,585.0,0.7,16.0,34.0,49.0,48.0,35.0,27.0,8.0,29.0,20.4,0.7,234.0,62.0
116,2015-03-01 13:00:00,13,1,3,TLA,4.079,2.917,584.0,0.7,9.0,33.0,42.0,71.0,34.0,29.0,7.0,26.0,21.8,0.8,128.0,63.0
118,2015-03-01 14:00:00,14,1,3,TLA,4.055,3.011,584.0,1.0,8.0,27.0,35.0,97.0,48.0,32.0,5.0,24.0,23.1,0.7,52.0,79.0
120,2015-03-01 15:00:00,15,1,3,TLA,3.908,2.62,583.0,0.6,3.0,18.0,22.0,99.0,21.0,31.0,5.0,21.0,24.3,1.6,137.0,53.0
124,2015-03-01 17:00:00,17,1,3,TLA,2.005,0.778,582.0,0.5,2.0,16.0,18.0,96.0,20.0,31.0,5.0,19.0,25.7,1.1,215.0,50.0
126,2015-03-01 18:00:00,18,1,3,TLA,0.895,0.22,582.0,0.6,2.0,18.0,19.0,98.0,35.0,25.0,5.0,19.0,25.5,1.3,227.0,60.0
128,2015-03-01 19:00:00,19,1,3,TLA,0.147,0.022000000000000002,583.0,0.5,4.0,24.0,28.0,67.0,4.0,64.0,6.0,25.0,24.0,3.7,355.0,68.0
130,2015-03-01 20:00:00,20,1,3,TLA,0.0,0.0,583.0,0.7,12.0,21.0,34.0,37.0,10.0,47.0,2.0,29.0,21.7,3.3,27.0,57.0
134,2015-03-01 22:00:00,22,1,3,TLA,0.0,0.0,585.0,0.5,3.0,29.0,32.0,26.0,26.0,33.0,5.0,34.0,18.6,3.4,339.0,59.0
136,2015-03-01 23:00:00,23,1,3,TLA,0.0,0.0,585.0,0.5,4.0,34.0,38.0,20.0,11.0,24.0,3.0,36.0,17.5,3.3,326.0,34.0
138,2015-03-01 00:00:00,0,1,3,TLA,0.0,0.0,585.0,0.7,2.0,34.0,36.0,17.0,24.0,22.0,28.0,45.0,16.4,2.8,317.0,46.0
139,2015-04-01 01:00:00,1,1,4,MER,0.0,0.0,585.0,0.7,4.0,34.0,38.0,19.0,16.0,22.0,2.0,42.0,16.4,2.2,294.0,39.0
140,2015-04-01 02:00:00,2,1,4,MER,0.0,0.0,585.0,0.7,4.0,38.0,41.0,13.0,21.0,16.0,2.0,47.0,15.2,1.1,328.0,37.0
141,2015-04-01 03:00:00,3,1,4,MER,0.0,0.0,585.0,0.7,5.0,41.0,46.0,8.0,28.0,17.0,2.0,50.0,14.3,0.7,355.0,44.0
142,2015-04-01 04:00:00,4,1,4,MER,0.0,0.0,584.0,0.8,16.0,45.0,61.0,4.0,21.0,23.0,2.0,50.0,13.9,1.3,320.0,44.0
143,2015-04-01 05:00:00,5,1,4,MER,0.0,0.0,584.0,1.0,21.0,48.0,68.0,2.0,25.0,27.0,2.0,53.0,13.5,1.2,308.0,52.0
144,2015-04-01 06:00:00,6,1,4,MER,0.001,0.002,584.0,1.4,45.0,46.0,91.0,2.0,17.0,28.0,3.0,57.0,12.7,0.5,150.0,45.0
145,2015-04-01 07:00:00,7,1,4,MER,0.042,0.008,584.0,2.6,141.0,47.0,188.0,2.0,39.0,36.0,4.0,67.0,12.7,1.1,180.0,75.0
146,2015-04-01 08:00:00,8,1,4,MER,0.536,0.111,585.0,2.0,82.0,48.0,130.0,4.0,34.0,32.0,3.0,62.0,15.3,1.0,155.0,66.0
147,2015-04-01 09:00:00,9,1,4,MER,1.443,0.5429999999999999,585.0,2.4,110.0,66.0,175.0,8.0,49.0,56.0,5.0,49.0,18.4,1.3,21.0,105.0
148,2015-04-01 09:00:00,9,1,4,TLA,1.505,0.583,583.0,1.5,84.0,51.0,136.0,9.0,38.0,50.0,6.0,45.0,16.3,0.8,323.0,88.0
149,2015-04-01 10:00:00,10,1,4,MER,2.622,1.4580000000000002,585.0,2.0,59.0,73.0,132.0,24.0,46.0,39.0,4.0,40.0,20.9,1.4,96.0,85.0
150,2015-04-01 10:00:00,10,1,4,TLA,2.532,1.479,583.0,1.3,76.0,54.0,131.0,17.0,55.0,39.0,10.0,40.0,18.7,0.7,136.0,94.0
151,2015-04-01 11:00:00,11,1,4,MER,3.6830000000000003,2.5669999999999997,585.0,1.2,19.0,50.0,69.0,53.0,43.0,27.0,3.0,35.0,22.5,1.6,99.0,70.0
152,2015-04-01 11:00:00,11,1,4,TLA,3.589,2.645,583.0,1.4,33.0,52.0,84.0,38.0,47.0,30.0,5.0,39.0,20.2,0.9,92.0,78.0
153,2015-04-01 12:00:00,12,1,4,MER,4.013999999999999,3.1489999999999996,585.0,1.0,9.0,39.0,48.0,78.0,41.0,22.0,3.0,32.0,23.8,1.8,66.0,63.0
154,2015-04-01 12:00:00,12,1,4,TLA,4.337,3.55,583.0,1.0,14.0,42.0,57.0,72.0,26.0,29.0,3.0,35.0,21.6,1.0,184.0,55.0
