,fecha,id_station,CO,NO,NO2,NOX,O3,PM2.5,PMCO,SO2,PM10,RH,TMP,WSP,WDR,PA,UVA,UVB,hora,dia,mes
15,2017-01-01,MER,1.3,22.0,47.0,69.0,3.0,46.0,27.0,5.0,73.0,63.0,14.4,0.8,205.0,585.0,0.0,0.0, 01,01,01
45,2017-01-01,MER,1.3,18.0,45.0,62.0,1.0,73.0,32.0,6.0,105.0,67.0,13.7,0.8,144.0,585.0,0.0,0.0, 02,01,01
77,2017-01-01,MER,1.2,11.0,41.0,52.0,2.0,74.0,29.0,5.0,103.0,66.0,13.6,0.5,164.0,585.0,0.0,0.0, 03,01,01
110,2017-01-01,MER,1.4,31.0,40.0,70.0,2.0,84.0,30.0,5.0,114.0,66.0,13.5,0.7,183.0,585.0,0.0,0.0, 04,01,01
144,2017-01-01,MER,1.5,32.0,38.0,70.0,1.0,100.0,36.0,5.0,136.0,70.0,12.6,1.1,162.0,585.0,0.0,0.0, 05,01,01
178,2017-01-01,MER,1.3,22.0,37.0,59.0,1.0,113.0,35.0,5.0,149.0,71.0,12.3,0.8,166.0,585.0,0.0,0.0, 06,01,01
212,2017-01-01,MER,1.3,25.0,37.0,61.0,2.0,107.0,34.0,5.0,141.0,72.0,11.9,0.8,176.0,585.0,0.0,0.0, 07,01,01
246,2017-01-01,MER,1.3,22.0,34.0,56.0,2.0,104.0,31.0,4.0,134.0,73.0,11.6,0.8,160.0,585.0,0.0,0.0, 08,01,01
280,2017-01-01,MER,1.6,41.0,43.0,83.0,5.0,114.0,38.0,5.0,152.0,70.0,12.4,1.1,128.0,586.0,0.0,0.0, 09,01,01
314,2017-01-01,MER,1.7,30.0,58.0,88.0,16.0,157.0,52.0,7.0,209.0,64.0,13.8,1.0,149.0,586.0,0.0,0.0, 10,01,01
348,2017-01-01,MER,1.2,13.0,42.0,54.0,43.0,125.0,40.0,6.0,165.0,57.0,15.6,1.1,69.0,586.0,0.0,0.0, 11,01,01
358,2017-01-01,TLA,0.6,8.0,21.0,30.0,47.0,56.0,35.0,3.0,91.0,44.0,16.7,0.5,146.0,584.0,0.0,0.0, 11,01,01
382,2017-01-01,MER,0.6,5.0,23.0,27.0,64.0,65.0,25.0,4.0,90.0,48.0,17.5,1.6,24.0,586.0,0.0,0.0, 12,01,01
392,2017-01-01,TLA,0.6,6.0,21.0,27.0,61.0,44.0,20.0,3.0,63.0,40.0,17.6,1.3,356.0,584.0,0.0,0.0, 12,01,01
416,2017-01-01,MER,0.4,3.0,16.0,19.0,73.0,47.0,21.0,3.0,69.0,39.0,19.2,1.8,121.0,585.0,0.0,0.0, 13,01,01
426,2017-01-01,TLA,0.5,4.0,17.0,21.0,71.0,40.0,20.0,3.0,60.0,35.0,19.0,0.3,131.0,583.0,0.0,0.0, 13,01,01
450,2017-01-01,MER,0.4,1.0,12.0,14.0,83.0,40.0,20.0,3.0,60.0,37.0,19.8,2.2,101.0,584.0,0.0,0.0, 14,01,01
460,2017-01-01,TLA,0.5,1.0,11.0,13.0,88.0,28.0,10.0,2.0,38.0,32.0,19.6,1.4,99.0,582.0,0.0,0.0, 14,01,01
484,2017-01-01,MER,0.4,1.0,14.0,14.0,86.0,45.0,19.0,3.0,63.0,36.0,20.2,1.5,135.0,584.0,0.0,0.0, 15,01,01
494,2017-01-01,TLA,0.5,1.0,12.0,13.0,91.0,36.0,39.0,1.0,75.0,29.0,20.8,1.0,195.0,582.0,0.0,0.0, 15,01,01
518,2017-01-01,MER,0.4,1.0,14.0,15.0,84.0,23.0,18.0,3.0,40.0,35.0,20.7,2.1,43.0,584.0,0.0,0.0, 16,01,01
528,2017-01-01,TLA,0.5,0.0,12.0,12.0,92.0,36.0,41.0,1.0,77.0,28.0,21.0,0.4,155.0,582.0,0.0,0.0, 16,01,01
552,2017-01-01,MER,0.4,1.0,15.0,16.0,59.0,20.0,19.0,2.0,39.0,37.0,20.6,2.3,148.0,584.0,0.0,0.0, 17,01,01
561,2017-01-01,TLA,0.5,2.0,15.0,17.0,87.0,32.0,20.0,1.0,52.0,29.0,20.7,0.7,129.0,582.0,0.0,0.0, 17,01,01
585,2017-01-01,MER,0.4,2.0,20.0,22.0,47.0,38.0,27.0,2.0,65.0,42.0,19.6,3.4,146.0,584.0,0.0,0.0, 18,01,01
619,2017-01-01,MER,0.4,1.0,22.0,24.0,41.0,11.0,24.0,2.0,35.0,46.0,18.3,3.3,161.0,584.0,0.0,0.0, 19,01,01
653,2017-01-01,MER,0.8,5.0,39.0,44.0,24.0,32.0,26.0,2.0,58.0,49.0,17.4,2.1,158.0,585.0,0.0,0.0, 20,01,01
687,2017-01-01,MER,0.9,7.0,59.0,66.0,13.0,37.0,29.0,2.0,67.0,51.0,16.5,1.4,136.0,585.0,0.0,0.0, 21,01,01
697,2017-01-01,TLA,0.8,5.0,37.0,42.0,18.0,27.0,31.0,2.0,58.0,46.0,16.5,1.2,112.0,583.0,0.0,0.0, 21,01,01
721,2017-01-01,MER,1.1,13.0,59.0,73.0,5.0,34.0,30.0,3.0,64.0,52.0,16.0,0.8,113.0,585.0,0.0,0.0, 22,01,01
731,2017-01-01,TLA,0.7,3.0,32.0,36.0,21.0,17.0,15.0,1.0,32.0,48.0,15.8,1.5,110.0,583.0,0.0,0.0, 22,01,01
755,2017-01-01,MER,1.8,76.0,64.0,140.0,2.0,43.0,45.0,4.0,88.0,54.0,15.3,1.0,145.0,585.0,0.0,0.0, 23,01,01
765,2017-01-01,TLA,1.0,8.0,55.0,63.0,6.0,22.0,25.0,2.0,47.0,49.0,15.1,1.4,108.0,583.0,0.0,0.0, 23,01,01
789,2017-01-01,MER,2.0,88.0,65.0,154.0,2.0,71.0,57.0,4.0,128.0,56.0,14.6,1.0,142.0,585.0,0.0,0.0, 00,01,01
