,fecha,id_station,CO,NO,NO2,NOX,O3,PM2.5,PMCO,SO2,PM10,RH,TMP,WSP,WDR,PA,UVA,UVB,hora,dia,mes
94,2019-01-01,MER,1.3,43.0,36.0,80.0,1.0,82.0,36.0,5.0,118.0,69.0,11.0,0.8,130.0,584.1,0.0,0.0, 04,01,01
103,2019-01-01,TLA,1.2,41.0,30.0,71.0,1.0,59.0,21.0,3.0,80.0,66.0,9.8,0.7,249.0,581.0,0.0,0.0, 04,01,01
126,2019-01-01,MER,1.5,57.0,39.0,96.0,2.0,110.0,43.0,6.0,154.0,68.0,10.0,1.0,82.0,584.0,0.0,0.0, 05,01,01
135,2019-01-01,TLA,0.8,20.0,30.0,50.0,1.0,58.0,26.0,3.0,84.0,66.0,9.1,0.5,214.0,581.0,0.0,0.0, 05,01,01
158,2019-01-01,MER,1.4,55.0,36.0,91.0,2.0,165.0,62.0,6.0,227.0,70.0,9.5,0.5,69.0,584.0,0.0,0.0, 06,01,01
167,2019-01-01,TLA,0.7,7.0,28.0,35.0,2.0,46.0,17.0,2.0,63.0,68.0,8.4,1.0,248.0,581.0,0.0,0.0, 06,01,01
190,2019-01-01,MER,1.7,89.0,34.0,124.0,1.0,161.0,55.0,5.0,216.0,72.0,9.1,0.8,120.0,584.2,0.001,0.006, 07,01,01
199,2019-01-01,TLA,0.6,12.0,28.0,40.0,1.0,51.0,15.0,2.0,67.0,69.0,7.8,0.4,227.0,581.0,0.0,0.0, 07,01,01
222,2019-01-01,MER,1.6,67.0,33.0,100.0,2.0,153.0,58.0,5.0,211.0,69.0,8.9,0.7,165.0,584.6,0.133,0.0475, 08,01,01
231,2019-01-01,TLA,0.5,8.0,23.0,31.0,4.0,47.0,15.0,2.0,62.0,66.0,7.2,0.9,272.0,582.0,0.0,0.0, 08,01,01
254,2019-01-01,MER,1.1,29.0,33.0,62.0,9.0,139.0,45.0,5.0,183.0,58.0,10.6,0.7,170.0,585.1,0.685,0.2345, 09,01,01
263,2019-01-01,TLA,0.7,20.0,25.0,45.0,8.0,29.0,12.0,2.0,41.0,60.0,9.1,0.9,284.0,582.0,0.0,0.0, 09,01,01
286,2019-01-01,MER,1.5,26.0,59.0,85.0,26.0,112.0,33.0,5.0,145.0,58.0,12.5,1.3,336.0,585.5,1.344,0.6945, 10,01,01
295,2019-01-01,TLA,1.1,18.0,42.0,60.0,29.0,47.0,17.0,6.0,64.0,51.0,12.4,1.1,317.0,583.0,0.0,0.0, 10,01,01
318,2019-01-01,MER,0.9,11.0,44.0,54.0,55.0,145.0,48.0,5.0,193.0,49.0,14.6,1.3,58.0,585.7,2.265,1.5635, 11,01,01
327,2019-01-01,TLA,1.1,17.0,53.0,70.0,45.0,104.0,30.0,24.0,134.0,43.0,15.0,1.3,354.0,583.0,0.0,0.0, 11,01,01
350,2019-01-01,MER,0.6,4.0,29.0,34.0,77.0,111.0,34.0,4.0,144.0,39.0,16.6,1.7,61.0,585.2,3.05,2.4595, 12,01,01
359,2019-01-01,TLA,0.3,7.0,24.0,31.0,55.0,151.0,47.0,8.0,199.0,30.0,17.6,0.9,26.0,582.0,0.0,0.0, 12,01,01
382,2019-01-01,MER,0.3,3.0,24.0,27.0,80.0,86.0,26.0,4.0,112.0,29.0,18.7,1.6,94.0,584.0,3.3739999999999997,2.9465, 13,01,01
391,2019-01-01,TLA,0.4,4.0,24.0,28.0,79.0,60.0,20.0,5.0,80.0,25.0,19.5,0.2,303.0,581.0,0.0,0.0, 13,01,01
414,2019-01-01,MER,0.2,1.0,18.0,19.0,88.0,56.0,18.0,4.0,74.0,23.0,20.4,1.5,134.0,583.0,3.2239999999999998,2.7165, 14,01,01
423,2019-01-01,TLA,0.3,1.0,16.0,18.0,91.0,53.0,16.0,3.0,69.0,19.0,21.4,0.8,201.0,580.0,0.0,0.0, 14,01,01
446,2019-01-01,MER,0.3,1.0,17.0,18.0,102.0,42.0,24.0,4.0,66.0,21.0,21.5,1.7,236.0,582.6,2.6519999999999997,1.9535, 15,01,01
455,2019-01-01,TLA,0.3,3.0,20.0,22.0,87.0,45.0,14.0,4.0,59.0,17.0,22.0,0.9,350.0,580.0,0.0,0.0, 15,01,01
478,2019-01-01,MER,0.2,1.0,20.0,20.0,101.0,52.0,18.0,4.0,70.0,19.0,22.6,1.4,45.0,582.2,1.919,1.0875, 16,01,01
487,2019-01-01,TLA,0.2,1.0,20.0,21.0,88.0,38.0,12.0,4.0,50.0,15.0,22.4,0.7,106.0,580.0,0.0,0.0, 16,01,01
510,2019-01-01,MER,0.1,0.0,14.0,15.0,61.0,42.0,18.0,2.0,60.0,23.0,22.5,3.1,113.0,582.4,1.092,0.4405, 17,01,01
519,2019-01-01,TLA,0.2,1.0,17.0,17.0,85.0,29.0,21.0,3.0,49.0,15.0,22.8,0.4,101.0,580.0,0.0,0.0, 17,01,01
542,2019-01-01,MER,0.1,0.0,16.0,16.0,50.0,16.0,24.0,2.0,40.0,24.0,21.2,3.4,117.0,582.9,0.33299999999999996,0.0695, 18,01,01
551,2019-01-01,TLA,0.2,1.0,21.0,22.0,62.0,34.0,13.0,2.0,48.0,21.0,21.5,2.4,105.0,580.0,0.0,0.0, 18,01,01
574,2019-01-01,MER,0.2,1.0,25.0,26.0,34.0,20.0,32.0,2.0,52.0,25.0,19.5,2.9,126.0,583.3,0.0,0.0, 19,01,01
583,2019-01-01,TLA,0.3,2.0,29.0,31.0,30.0,26.0,21.0,1.0,47.0,25.0,19.2,2.8,97.0,581.0,0.0,0.0, 19,01,01
606,2019-01-01,MER,0.4,10.0,41.0,51.0,15.0,22.0,30.0,2.0,51.0,26.0,18.1,2.1,155.0,583.8,0.0,0.0, 20,01,01
615,2019-01-01,TLA,0.4,9.0,38.0,48.0,18.0,14.0,28.0,3.0,42.0,29.0,18.0,1.8,9.0,581.0,0.0,0.0, 20,01,01
638,2019-01-01,MER,0.8,24.0,47.0,71.0,7.0,40.0,33.0,3.0,73.0,28.0,17.0,0.7,262.0,584.3,0.0,0.0, 21,01,01
647,2019-01-01,TLA,0.4,4.0,34.0,38.0,21.0,17.0,35.0,14.0,52.0,44.0,16.2,2.5,310.0,582.0,0.0,0.0, 21,01,01
670,2019-01-01,MER,0.6,11.0,40.0,50.0,14.0,30.0,27.0,11.0,57.0,49.0,16.1,2.5,311.0,584.5,0.0,0.0, 22,01,01
679,2019-01-01,TLA,0.5,2.0,28.0,30.0,21.0,25.0,31.0,45.0,56.0,50.0,14.7,2.6,312.0,582.0,0.0,0.0, 22,01,01
702,2019-01-01,MER,0.7,21.0,46.0,67.0,6.0,23.0,39.0,29.0,62.0,51.0,15.2,1.7,332.0,584.7,0.0,0.0, 23,01,01
711,2019-01-01,TLA,0.4,2.0,25.0,27.0,19.0,31.0,23.0,51.0,54.0,54.0,13.7,2.6,313.0,582.0,0.0,0.0, 23,01,01
