,fecha,id_station,CO,NO,NO2,NOX,O3,PM2.5,PMCO,SO2,PM10,RH,TMP,WSP,WDR,PA,UVA,UVB,hora,dia,mes
19,2013-01-01,TLA,1.2,38.0,31.0,69.0,1.0,48.0,21.0,3.0,69.0,59.0,13.2,0.8,235.0,583.0,0.0,0.0, 01,01,01
45,2013-01-01,TLA,1.4,46.0,31.0,77.0,2.0,98.0,32.0,6.0,131.0,61.0,12.7,0.7,166.0,583.0,0.0,0.0, 02,01,01
71,2013-01-01,TLA,1.8,73.0,27.0,99.0,2.0,109.0,34.0,7.0,142.0,64.0,11.9,0.6,218.0,582.0,0.0,0.0, 03,01,01
97,2013-01-01,TLA,2.0,86.0,28.0,113.0,2.0,101.0,36.0,5.0,137.0,65.0,11.6,1.0,203.0,582.0,0.0,0.0, 04,01,01
123,2013-01-01,TLA,2.2,102.0,26.0,129.0,2.0,90.0,30.0,5.0,120.0,68.0,10.8,0.4,261.0,582.0,0.0,0.0, 05,01,01
140,2013-01-01,MER,1.6,50.0,30.0,80.0,2.0,76.0,28.0,3.0,104.0,66.0,11.1,0.9,192.0,585.0,0.0,0.0, 06,01,01
149,2013-01-01,TLA,1.5,72.0,24.0,95.0,2.0,72.0,22.0,3.0,94.0,71.0,9.9,1.0,256.0,582.0,0.0,0.0, 06,01,01
167,2013-01-01,MER,2.2,80.0,28.0,108.0,2.0,89.0,29.0,3.0,118.0,68.0,10.5,0.8,150.0,585.0,0.001,0.0, 07,01,01
176,2013-01-01,TLA,1.4,63.0,24.0,86.0,1.0,54.0,19.0,3.0,73.0,73.0,9.0,1.4,266.0,582.0,0.002,0.001, 07,01,01
194,2013-01-01,MER,2.3,103.0,33.0,136.0,2.0,116.0,43.0,4.0,159.0,68.0,9.7,1.3,49.0,585.0,0.13,0.021, 08,01,01
203,2013-01-01,TLA,1.9,80.0,25.0,105.0,3.0,128.0,38.0,3.0,165.0,74.0,9.0,1.2,283.0,582.0,0.136,0.035, 08,01,01
221,2013-01-01,MER,2.3,87.0,49.0,137.0,5.0,141.0,53.0,6.0,194.0,62.0,11.3,0.6,28.0,585.0,0.633,0.18, 09,01,01
230,2013-01-01,TLA,2.1,79.0,37.0,116.0,6.0,161.0,52.0,5.0,212.0,68.0,10.4,0.8,269.0,583.0,0.623,0.187, 09,01,01
